Glottocode,mFBeD,mFBeS,mFByD,mFByS,mFZeD,mFZeS,mFZyD,mFZyS,mMBeD,mMBeS,mMByD,mMByS,mMZeD,mMZeS,mMZyD,mMZyS,wFBeD,wFBeS,wFByD,wFByS,wFZeD,wFZeS,wFZyD,wFZyS,wMBeD,wMBeS,wMByD,wMByS,wMZeD,wMZeS,wMZyD,wMZyS
ache1246,ãpãradjy,ãpãray,ãpãradjy,ãpãray,eimemby,eimemby,eimemby,eimemby,tutyradjy,tutyray,tutyradjy,tutyray,eimemby,eimemby,eimemby,eimemby,ãpãradjy,ãpãray,ãpãradjy,ãpãray,eimemby,eimemby,eimemby,eimemby,ãpãradjy,ãpãray,ãpãradjy,ãpãray,eimemby,eimemby,eimemby,eimemby
afri1274,niggie,neef,niggie,neef,niggie,neef,niggie,neef,niggie,neef,niggie,neef,niggie,neef,niggie,neef,niggie,neef,niggie,neef,niggie,neef,niggie,neef,niggie,neef,niggie,neef,niggie,neef,niggie,neef
aghu1253,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar
agua1253,i'ka'yac̷u-t,i'ka'yac̷u-t,i'ka'yac̷u-t,i'ka'yac̷u-t,i'ka'yac̷u-t,i'ka'yac̷u-t,i'ka'yac̷u-t,i'ka'yac̷u-t,i'ka'yac̷u-t,i'ka'yac̷u-t,i'ka'yac̷u-t,i'ka'yac̷u-t,i'ka'yac̷u-t,i'ka'yac̷u-t,i'ka'yac̷u-t,i'ka'yac̷u-t,i'ka'yac̷u-t,i'ka'yac̷u-t,i'ka'yac̷u-t,i'ka'yac̷u-t,i'ka'yac̷u-t,i'ka'yac̷u-t,i'ka'yac̷u-t,i'ka'yac̷u-t,i'ka'yac̷u-t,i'ka'yac̷u-t,i'ka'yac̷u-t,i'ka'yac̷u-t,i'ka'yac̷u-t,i'ka'yac̷u-t,i'ka'yac̷u-t,i'ka'yac̷u-t
akhv1239,wac̄iqʼabi,wac̄iqʼabi,wac̄iqʼabi,wac̄iqʼabi,wac̄iqʼabi,wac̄iqʼabi,wac̄iqʼabi,wac̄iqʼabi,wac̄iqʼabi,wac̄iqʼabi,wac̄iqʼabi,wac̄iqʼabi,wac̄iqʼabi,wac̄iqʼabi,wac̄iqʼabi,wac̄iqʼabi,wac̄iqʼabi,wac̄iqʼabi,wac̄iqʼabi,wac̄iqʼabi,wac̄iqʼabi,wac̄iqʼabi,wac̄iqʼabi,wac̄iqʼabi,wac̄iqʼabi,wac̄iqʼabi,wac̄iqʼabi,wac̄iqʼabi,wac̄iqʼabi,wac̄iqʼabi,wac̄iqʼabi,wac̄iqʼabi
alba1267,kushërirë,kushëri,kushërirë,kushëri,kushërirë,kushëri,kushërirë,kushëri,kushërirë,kushëri,kushërirë,kushëri,kushërirë,kushëri,kushërirë,kushëri,kushërirë,kushëri,kushërirë,kushëri,kushërirë,kushëri,kushërirë,kushëri,kushërirë,kushëri,kushërirë,kushëri,kushërirë,kushëri,kushërirë,kushëri
alya1239,angkuriya,awiyatja,aytiyatja,aytiyatja,altyele,ankele,altyele,ankele,altyele,ankele,altyele,ankele,angkuriya,awiyatja,aytiyatja,aytiyatja,angkuriya,awiyatja,aytiyatja,aytiyatja,altyele,ankele,altyele,ankele,altyele,ankele,altyele,ankele,angkuriya,awiyatja,aytiyatja,aytiyatja
amha1245,yä-aggotlej,yä-aggotlej,yä-aggotlej,yä-aggotlej,yä-akestlej,yä-akestlej,yä-akestlej,yä-akestlej,yä-aggotlej,yä-aggotlej,yä-aggotlej,yä-aggotlej,yä-akestlej,yä-akestlej,yä-akestlej,yä-akestlej,yä-aggotlej,yä-aggotlej,yä-aggotlej,yä-aggotlej,yä-akestlej,yä-akestlej,yä-akestlej,yä-akestlej,yä-aggotlej,yä-aggotlej,yä-aggotlej,yä-aggotlej,yä-akestlej,yä-akestlej,yä-akestlej,yä-akestlej
anci1242,anepsiá,anepsiós,anepsiá,anepsiós,anepsiá,anepsiós,anepsiá,anepsiós,anepsiá,anepsiós,anepsiá,anepsiós,anepsiá,anepsiós,anepsiá,anepsiós,anepsiá,anepsiós,anepsiá,anepsiós,anepsiá,anepsiós,anepsiá,anepsiós,anepsiá,anepsiós,anepsiá,anepsiós,anepsiá,anepsiós,anepsiá,anepsiós
ancu1238,wacaʕal,wacaʕal,wacaʕal,wacaʕal,wacaʕal,wacaʕal,wacaʕal,wacaʕal,wacaʕal,wacaʕal,wacaʕal,wacaʕal,wacaʕal,wacaʕal,wacaʕal,wacaʕal,wacaʕal,wacaʕal,wacaʕal,wacaʕal,wacaʕal,wacaʕal,wacaʕal,wacaʕal,wacaʕal,wacaʕal,wacaʕal,wacaʕal,wacaʕal,wacaʕal,wacaʕal,wacaʕal
anda1281,wacʔal,wacʔal,wacʔal,wacʔal,wacʔal,wacʔal,wacʔal,wacʔal,wacʔal,wacʔal,wacʔal,wacʔal,wacʔal,wacʔal,wacʔal,wacʔal,wacʔal,wacʔal,wacʔal,wacʔal,wacʔal,wacʔal,wacʔal,wacʔal,wacʔal,wacʔal,wacʔal,wacʔal,wacʔal,wacʔal,wacʔal,wacʔal
andi1255,wacʔal,wacʔal,wacʔal,wacʔal,wacʔal,wacʔal,wacʔal,wacʔal,wacʔal,wacʔal,wacʔal,wacʔal,wacʔal,wacʔal,wacʔal,wacʔal,wacʔal,wacʔal,wacʔal,wacʔal,wacʔal,wacʔal,wacʔal,wacʔal,wacʔal,wacʔal,wacʔal,wacʔal,wacʔal,wacʔal,wacʔal,wacʔal
arch1244,šekert̄u,šekert̄u,šekert̄u,šekert̄u,šekert̄u,šekert̄u,šekert̄u,šekert̄u,šekert̄u,šekert̄u,šekert̄u,šekert̄u,šekert̄u,šekert̄u,šekert̄u,šekert̄u,šekert̄u,šekert̄u,šekert̄u,šekert̄u,šekert̄u,šekert̄u,šekert̄u,šekert̄u,šekert̄u,šekert̄u,šekert̄u,šekert̄u,šekert̄u,šekert̄u,šekert̄u,šekert̄u
asut1235,rumbúrya,mjinåwa,rumbúrya,mjinåwa,rumbúrya,mjinåwa,rumbúrya,mjinåwa,rumbúrya,mjinåwa,rumbúrya,mjinåwa,rumbúrya,mjinåwa,rumbúrya,mjinåwa,rumbúrya,mjinåwa,rumbúrya,mjinåwa,rumbúrya,mjinåwa,rumbúrya,mjinåwa,rumbúrya,mjinåwa,rumbúrya,mjinåwa,rumbúrya,mjinåwa,rumbúrya,mjinåwa
avar1256,vatsalav,vatsalav,vatsalav,vatsalav,vatsalav,vatsalav,vatsalav,vatsalav,vatsalav,vatsalav,vatsalav,vatsalav,vatsalav,vatsalav,vatsalav,vatsalav,vatsalav,vatsalav,vatsalav,vatsalav,vatsalav,vatsalav,vatsalav,vatsalav,vatsalav,vatsalav,vatsalav,vatsalav,vatsalav,vatsalav,vatsalav,vatsalav
aves1237,tūriyō-puθra-,tūriyō-puθra-,tūriyō-puθra-,tūriyō-puθra-,tūriyō-puθra-,tūriyō-puθra-,tūriyō-puθra-,tūriyō-puθra-,tūriyō-puθra-,tūriyō-puθra-,tūriyō-puθra-,tūriyō-puθra-,tūriyō-puθra-,tūriyō-puθra-,tūriyō-puθra-,tūriyō-puθra-,tūriyō-puθra-,tūriyō-puθra-,tūriyō-puθra-,tūriyō-puθra-,tūriyō-puθra-,tūriyō-puθra-,tūriyō-puθra-,tūriyō-puθra-,tūriyō-puθra-,tūriyō-puθra-,tūriyō-puθra-,tūriyō-puθra-,tūriyō-puθra-,tūriyō-puθra-,tūriyō-puθra-,tūriyō-puθra-
awet1244,inhýt,itatiý,inhýt,itiwýt,inhýt,itatiý,inhýt,itiwýt,inhýt,itatiý,inhýt,itiwýt,inhýt,itatiý,inhýt,itiwýt,itatét,ikiwýt,ikypiýt,ikiwýt,itatét,ikiwýt,ikypiýt,ikiwýt,itatét,ikiwýt,ikypiýt,ikiwýt,itatét,ikiwýt,ikypiýt,ikiwýt
ayor1240,hõ'ra-i,hõ'ra-i,hõ'ra-i,hõ'ra-i,hõ'ra-i,hõ'ra-i,hõ'ra-i,hõ'ra-i,hõ'ra-i,hõ'ra-i,hõ'ra-i,hõ'ra-i,hõ'ra-i,hõ'ra-i,hõ'ra-i,hõ'ra-i,hõ'ra-i,hõ'ra-i,hõ'ra-i,hõ'ra-i,hõ'ra-i,hõ'ra-i,hõ'ra-i,hõ'ra-i,hõ'ra-i,hõ'ra-i,hõ'ra-i,hõ'ra-i,hõ'ra-i,hõ'ra-i,hõ'ra-i,hõ'ra-i
bagv1239,was̄āb,was̄āb,was̄āb,was̄āb,was̄āb,was̄āb,was̄āb,was̄āb,was̄āb,was̄āb,was̄āb,was̄āb,was̄āb,was̄āb,was̄āb,was̄āb,was̄āb,was̄āb,was̄āb,was̄āb,was̄āb,was̄āb,was̄āb,was̄āb,was̄āb,was̄āb,was̄āb,was̄āb,was̄āb,was̄āb,was̄āb,was̄āb
balo1260,naxozatk,naxozatk,naxozatk,naxozatk,trizatk,trizatk,trizatk,trizatk,trizatk,trizatk,trizatk,trizatk,trizatk,trizatk,trizatk,trizatk,naxozatk,naxozatk,naxozatk,naxozatk,trizatk,trizatk,trizatk,trizatk,trizatk,trizatk,trizatk,trizatk,trizatk,trizatk,trizatk,trizatk
bann1248,i`a'm•a,ivávi,ivöni’i,ivaña',i`a'm•a,ivávi,ivöni’i,ivaña',i`a'm•a,ivávi,ivöni’i,ivaña',i`a'm•a,ivávi,ivöni’i,ivaña',i`a'm•a,ivávi,ivöni’i,ivaña',i`a'm•a,ivávi,ivöni’i,ivaña',i`a'm•a,ivávi,ivöni’i,ivaña',i`a'm•a,ivávi,ivöni’i,ivaña'
bari1297,sāyasašī,sāyasašī,sāyasašī,sāyasašī,sāyasašī,sāyasašī,sāyasašī,sāyasašī,sāyasašī,sāyasašī,sāyasašī,sāyasašī,sāyasašī,sāyasašī,sāyasašī,sāyasašī,sāyasašī,sāyasašī,sāyasašī,sāyasašī,sāyasašī,sāyasašī,sāyasašī,sāyasašī,sāyasašī,sāyasašī,sāyasašī,sāyasašī,sāyasašī,sāyasašī,sāyasašī,sāyasašī
basq1248,kü'süɲa,kü'süɲa,kü'süɲa,kü'süɲa,kü'süɲa,kü'süɲa,kü'süɲa,kü'süɲa,kü'süɲa,kü'süɲa,kü'süɲa,kü'süɲa,kü'süɲa,kü'süɲa,kü'süɲa,kü'süɲa,kü'süɲa,kü'süɲa,kü'süɲa,kü'süɲa,kü'süɲa,kü'süɲa,kü'süɲa,kü'süɲa,kü'süɲa,kü'süɲa,kü'süɲa,kü'süɲa,kü'süɲa,kü'süɲa,kü'süɲa,kü'süɲa
bata1285,ntodubahangwéyandito,ntodubahangwéyamomo,ndembébahangwéyandito,ndembébahangwéyamomo,ntodubanyongwéyandito,ntodubanyongwéyamomo,ndembébanyongwéyandito,ndembébanyongwéyamomo,ntodubahongwéyandito,ntodubahongwéyamomo,ndembébahongwéyandito,ndembébahongwéyamomo,ntodubanyangwéyandito,ntodubanyangwéyamomo,ndembébanyangwéyandito,ndembébanyangwéyamomo,ntodubahangwéyandito,ntodubahangwéyamomo,ndembébahangwéyandito,ndembébahangwéyamomo,ntodubanyongwéyandito,ntodubanyongwéyamomo,ndembébanyongwéyandito,ndembébanyongwéyamomo,ntodubahongwéyandito,ntodubahongwéyamomo,ndembébahongwéyandito,ndembébahongwéyamomo,ntodubanyangwéyandito,ntodubanyangwéyamomo,ndembébanyangwéyandito,ndembébanyangwéyamomo
batl1238,wacħal,wacħal,wacħal,wacħal,wacħal,wacħal,wacħal,wacħal,wacħal,wacħal,wacħal,wacħal,wacħal,wacħal,wacħal,wacħal,wacħal,wacħal,wacħal,wacħal,wacħal,wacħal,wacħal,wacħal,wacħal,wacħal,wacħal,wacħal,wacħal,wacħal,wacħal,wacħal
bats1242,šice,šice,šice,šice,šice,šice,šice,šice,šice,šice,šice,šice,šice,šice,šice,šice,šice,šice,šice,šice,šice,šice,šice,šice,šice,šice,šice,šice,šice,šice,šice,šice
baur1253,mpiri,mpiri,mpiri,mpiri,mpiri,mpiri,mpiri,mpiri,mpiri,mpiri,mpiri,mpiri,mpiri,mpiri,mpiri,mpiri,mpiri,mpiri,mpiri,mpiri,mpiri,mpiri,mpiri,mpiri,mpiri,mpiri,mpiri,mpiri,mpiri,mpiri,mpiri,mpiri
bela1254,dvajúradnajasjastrá,dvajúradnybrat,dvajúradnajasjastrá,dvajúradnybrat,dvajúradnajasjastrá,dvajúradnybrat,dvajúradnajasjastrá,dvajúradnybrat,dvajúradnajasjastrá,dvajúradnybrat,dvajúradnajasjastrá,dvajúradnybrat,dvajúradnajasjastrá,dvajúradnybrat,dvajúradnajasjastrá,dvajúradnybrat,dvajúradnajasjastrá,dvajúradnybrat,dvajúradnajasjastrá,dvajúradnybrat,dvajúradnajasjastrá,dvajúradnybrat,dvajúradnajasjastrá,dvajúradnybrat,dvajúradnajasjastrá,dvajúradnybrat,dvajúradnajasjastrá,dvajúradnybrat,dvajúradnajasjastrá,dvajúradnybrat,dvajúradnajasjastrá,dvajúradnybrat
beng1280,jaṭhtato-bon,jeṭhtato-bhai,khudtato-bon,khudtato-bhai,pishtato-bon,pishtato-bhai,pishtato-bon,pishtato-bhai,mamato-bon,mamato-bhai,mamato-bon,mamato-bhai,mashtato-bon,mashtato-bhai,mashtato-bon,mashtato-bhai,jaṭhtato-bon,jeṭhtato-bhai,khudtato-bon,khudtato-bhai,pishtato-bon,pishtato-bhai,pishtato-bon,pishtato-bhai,mamato-bon,mamato-bhai,mamato-bon,mamato-bhai,mashtato-bon,mashtato-bhai,mashtato-bon,mashtato-bhai
bera1259,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko
bezh1248,waccal,waccal,waccal,waccal,waccal,waccal,waccal,waccal,waccal,waccal,waccal,waccal,waccal,waccal,waccal,waccal,waccal,waccal,waccal,waccal,waccal,waccal,waccal,waccal,waccal,waccal,waccal,waccal,waccal,waccal,waccal,waccal
biha1245,pitiaut-bahan,pitiaut-bhai,pitiaut-bahan,pitiaut-bhai,phupheri-bahan,phuphera-bhai,phupheri-bahan,phuphera-bhai,mameri-bahan,mamera-bhai,mameri-bahan,mamera-bhai,mauseri-bahan,mausera-bhai,mauseri-bahan,mausera-bhai,pitiaut-bahan,pitiaut-bhai,pitiaut-bahan,pitiaut-bhai,phupheri-bahan,phuphera-bhai,phupheri-bahan,phuphera-bhai,mameri-bahan,mamera-bhai,mameri-bahan,mamera-bhai,mauseri-bahan,mausera-bhai,mauseri-bahan,mausera-bhai
bila1255,namami,namami,namami,namami,sono,sono,sono,sono,sono,sono,sono,sono,namami,namami,namami,namami,namami,namami,namami,namami,sono,sono,sono,sono,sono,sono,sono,sono,namami,namami,namami,namami
bitt1240,ʔueiʔait,ʔueiʔait,ʔueiʔait,ʔueiʔait,ʔueiʔait,ʔueiʔait,ʔueiʔait,ʔueiʔait,ʔueiʔait,ʔueiʔait,ʔueiʔait,ʔueiʔait,ʔueiʔait,ʔueiʔait,ʔueiʔait,ʔueiʔait,ʔueiʔait,ʔueiʔait,ʔueiʔait,ʔueiʔait,ʔueiʔait,ʔueiʔait,ʔueiʔait,ʔueiʔait,ʔueiʔait,ʔueiʔait,ʔueiʔait,ʔueiʔait,ʔueiʔait,ʔueiʔait,ʔueiʔait,ʔueiʔait
bret1244,keniterv,kenderv,keniterv,kenderv,keniterv,kenderv,keniterv,kenderv,keniterv,kenderv,keniterv,kenderv,keniterv,kenderv,keniterv,kenderv,keniterv,kenderv,keniterv,kenderv,keniterv,kenderv,keniterv,kenderv,keniterv,kenderv,keniterv,kenderv,keniterv,kenderv,keniterv,kenderv
budu1248,q̄ardaš,q̄ardaš,q̄ardaš,q̄ardaš,q̄ardaš,q̄ardaš,q̄ardaš,q̄ardaš,q̄ardaš,q̄ardaš,q̄ardaš,q̄ardaš,q̄ardaš,q̄ardaš,q̄ardaš,q̄ardaš,q̄ardaš,q̄ardaš,q̄ardaš,q̄ardaš,q̄ardaš,q̄ardaš,q̄ardaš,q̄ardaš,q̄ardaš,q̄ardaš,q̄ardaš,q̄ardaš,q̄ardaš,q̄ardaš,q̄ardaš,q̄ardaš
buku1249,yaaya,waanda,yaaya,waanda,yaaya,waanda,yaaya,waanda,yaaya,waanda,yaaya,waanda,yaaya,waanda,yaaya,waanda,yaaya,waanda,yaaya,waanda,yaaya,waanda,yaaya,waanda,yaaya,waanda,yaaya,waanda,yaaya,waanda,yaaya,waanda
bulg1262,bratovčedka,bratovčed,bratovčedka,bratovčed,bratovčedka,bratovčed,bratovčedka,bratovčed,bratovčedka,bratovčed,bratovčedka,bratovčed,bratovčedka,bratovčed,bratovčedka,bratovčed,bratovčedka,bratovčed,bratovčedka,bratovčed,bratovčedka,bratovčed,bratovčedka,bratovčed,bratovčedka,bratovčed,bratovčedka,bratovčed,bratovčedka,bratovčed,bratovčedka,bratovčed
bush1247,genge,baba,genge,baba,genge,baba,genge,baba,genge,baba,genge,baba,genge,baba,genge,baba,genge,baba,genge,baba,genge,baba,genge,baba,genge,baba,genge,baba,genge,baba,genge,baba
cayu1262,či-'koǰiβi,či-'koǰiβi,či-'koǰiβi,či-'koǰiβi,či-'koǰiβi,či-'koǰiβi,či-'koǰiβi,či-'koǰiβi,či-'koǰiβi,či-'koǰiβi,či-'koǰiβi,či-'koǰiβi,či-'koǰiβi,či-'koǰiβi,či-'koǰiβi,či-'koǰiβi,či-'koǰiβi,či-'koǰiβi,či-'koǰiβi,či-'koǰiβi,či-'koǰiβi,či-'koǰiβi,či-'koǰiβi,či-'koǰiβi,či-'koǰiβi,či-'koǰiβi,či-'koǰiβi,či-'koǰiβi,či-'koǰiβi,či-'koǰiβi,či-'koǰiβi,či-'koǰiβi
cent1972,amoaza,amoaza,amoaza,amoaza,purza,purza,purza,purza,khaloaza,khaloaza,khaloaza,khaloaza,purza,purza,purza,purza,amoaza,amoaza,amoaza,amoaza,purza,purza,purza,purza,khaloaza,khaloaza,khaloaza,khaloaza,purza,purza,purza,purza
cent2142,xilata,xilata,xilata,xilata,xilata,xilata,xilata,xilata,xilata,xilata,xilata,xilata,xilata,xilata,xilata,xilata,xilata,xilata,xilata,xilata,xilata,xilata,xilata,xilata,xilata,xilata,xilata,xilata,xilata,xilata,xilata,xilata
cham1309,wacāb,wacāb,wacāb,wacāb,wacāb,wacāb,wacāb,wacāb,wacāb,wacāb,wacāb,wacāb,wacāb,wacāb,wacāb,wacāb,wacāb,wacāb,wacāb,wacāb,wacāb,wacāb,wacāb,wacāb,wacāb,wacāb,wacāb,wacāb,wacāb,wacāb,wacāb,wacāb
chem1251,ha'ütüniwaantsi,'ontokwavï,ha'ütüniwaantsi,'ontokwavï,ha'ütüniwaantsi,'ontokwavï,ha'ütüniwaantsi,'ontokwavï,ha'ütüniwaantsi,ha'ütüniwaantsi,ha'ütüniwaantsi,ha'ütüniwaantsi,ha'ütüniwaantsi,'ontokwavï,ha'ütüniwaantsi,'ontokwavï,ha'ütüniwaantsi,'ontokwavï,ha'ütüniwaantsi,'ontokwavï,ha'ütüniwaantsi,'ontokwavï,ha'ütüniwaantsi,'ontokwavï,ha'ütüniwaantsi,ha'ütüniwaantsi,ha'ütüniwaantsi,ha'ütüniwaantsi,ha'ütüniwaantsi,'ontokwavï,ha'ütüniwaantsi,'ontokwavï
chim1301,antxala,antxala,antxala,antxala,antxala,antxala,antxala,antxala,antxala,antxala,antxala,antxala,antxala,antxala,antxala,antxala,antxala,antxala,antxala,antxala,antxala,antxala,antxala,antxala,antxala,antxala,antxala,antxala,antxala,antxala,antxala,antxala
chip1261,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela
chir1284,uc̄iq’ar,uc̄iq’ar,uc̄iq’ar,uc̄iq’ar,uc̄iq’ar,uc̄iq’ar,uc̄iq’ar,uc̄iq’ar,uc̄iq’ar,uc̄iq’ar,uc̄iq’ar,uc̄iq’ar,uc̄iq’ar,uc̄iq’ar,uc̄iq’ar,uc̄iq’ar,uc̄iq’ar,uc̄iq’ar,uc̄iq’ar,uc̄iq’ar,uc̄iq’ar,uc̄iq’ar,uc̄iq’ar,uc̄iq’ar,uc̄iq’ar,uc̄iq’ar,uc̄iq’ar,uc̄iq’ar,uc̄iq’ar,uc̄iq’ar,uc̄iq’ar,uc̄iq’ar
chok1245,ndumbu,pangi,ndumbu,pangi,musonyi,musonyi,musonyi,musonyi,musonyi,musonyi,musonyi,musonyi,ndumbu,pangi,ndumbu,pangi,ndumbu,pangi,ndumbu,pangi,musonyi,musonyi,musonyi,musonyi,musonyi,musonyi,musonyi,musonyi,ndumbu,pangi,ndumbu,pangi
chur1257,bratu-čędŭ,bratu-čędŭ,bratu-čędŭ,bratu-čędŭ,bratu-čędŭ,bratu-čędŭ,bratu-čędŭ,bratu-čędŭ,bratu-čędŭ,bratu-čędŭ,bratu-čędŭ,bratu-čędŭ,bratu-čędŭ,bratu-čędŭ,bratu-čędŭ,bratu-čędŭ,bratu-čędŭ,bratu-čędŭ,bratu-čędŭ,bratu-čędŭ,bratu-čędŭ,bratu-čędŭ,bratu-čędŭ,bratu-čędŭ,bratu-čędŭ,bratu-čędŭ,bratu-čędŭ,bratu-čędŭ,bratu-čędŭ,bratu-čędŭ,bratu-čędŭ,bratu-čędŭ
coca1259,paya,ima,paya,ima,paya,ima,paya,ima,paya,ima,paya,ima,paya,ima,paya,ima,paya,ima,paya,ima,paya,ima,paya,ima,paya,ima,paya,ima,paya,ima,paya,ima
cofa1242,kĩši,kĩši,kĩši,kĩši,kĩši,kĩši,kĩši,kĩši,kĩši,kĩši,kĩši,kĩši,kĩši,kĩši,kĩši,kĩši,kĩši,kĩši,kĩši,kĩši,kĩši,kĩši,kĩši,kĩši,kĩši,kĩši,kĩši,kĩši,kĩši,kĩši,kĩši,kĩši
cube1242,mamico,mamicu,mamico,mamicu,chimaco,chimacu,chimaco,chimacu,chimaco,chimacu,chimaco,chimacu,mamico,mamicu,mamico,mamicu,mamico,mamicu,mamico,mamicu,chimaco,chimacu,chimaco,chimacu,chimaco,chimacu,chimaco,chimacu,mamico,mamicu,mamico,mamicu
cusc1236,sispawayqe,sispawayqe,sispawayqe,sispawayqe,sispawayqe,sispawayqe,sispawayqe,sispawayqe,sispawayqe,sispawayqe,sispawayqe,sispawayqe,sispawayqe,sispawayqe,sispawayqe,sispawayqe,sispawayqe,sispawayqe,sispawayqe,sispawayqe,sispawayqe,sispawayqe,sispawayqe,sispawayqe,sispawayqe,sispawayqe,sispawayqe,sispawayqe,sispawayqe,sispawayqe,sispawayqe,sispawayqe
czec1258,sestřenice,bratranec,sestřenice,bratranec,sestřenice,bratranec,sestřenice,bratranec,sestřenice,bratranec,sestřenice,bratranec,sestřenice,bratranec,sestřenice,bratranec,sestřenice,bratranec,sestřenice,bratranec,sestřenice,bratranec,sestřenice,bratranec,sestřenice,bratranec,sestřenice,bratranec,sestřenice,bratranec,sestřenice,bratranec
dani1285,kusine,fætter,kusine,fætter,kusine,fætter,kusine,fætter,kusine,fætter,kusine,fætter,kusine,fætter,kusine,fætter,kusine,fætter,kusine,fætter,kusine,fætter,kusine,fætter,kusine,fætter,kusine,fætter,kusine,fætter,kusine,fætter
