Glottocode,mFBeD,mFBeS,mFByD,mFByS,mFZeD,mFZeS,mFZyD,mFZyS,mMBeD,mMBeS,mMByD,mMByS,mMZeD,mMZeS,mMZyD,mMZyS,wFBeD,wFBeS,wFByD,wFByS,wFZeD,wFZeS,wFZyD,wFZyS,wMBeD,wMBeS,wMByD,wMByS,wMZeD,wMZeS,wMZyD,wMZyS
dari1249,doxtær-æmu,pesær-æmu,doxtær-æmu,pesær-æmu,doxtær-æmme,pesær-æmme,doxtær-æmme,pesær-æmme,doxtær-dayi,pesær-dayi,doxtær-dayi,pesær-dayi,doxtær-xale,pesær-xale,doxtær-xale,pesær-xale,doxtær-æmu,pesær-æmu,doxtær-æmu,pesær-æmu,doxtær-æmme,pesær-æmme,doxtær-æmme,pesær-æmme,doxtær-dayi,pesær-dayi,doxtær-dayi,pesær-dayi,doxtær-xale,pesær-xale,doxtær-xale,pesær-xale
dhuw1249,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,garmala,garmala,garmala,garmala,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,garmala,garmala,garmala,garmala,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7
digo1243,mwenenu,mwenenu,mwenenu,mwenenu,mkpwoi,mkpwoi,mkpwoi,mkpwoi,mkpwoi,mkpwoi,mkpwoi,mkpwoi,mwenenu,mwenenu,mwenenu,mwenenu,mwenenu,mwenenu,mwenenu,mwenenu,mkpwoi,mkpwoi,mkpwoi,mkpwoi,mkpwoi,mkpwoi,mkpwoi,mkpwoi,mwenenu,mwenenu,mwenenu,mwenenu
dutc1256,nicht,neef,nicht,neef,nicht,neef,nicht,neef,nicht,neef,nicht,neef,nicht,neef,nicht,neef,nicht,neef,nicht,neef,nicht,neef,nicht,neef,nicht,neef,nicht,neef,nicht,neef,nicht,neef
east2283,zarmikˀ,zarmikˀ,zarmikˀ,zarmikˀ,zarmikˀ,zarmikˀ,zarmikˀ,zarmikˀ,zarmikˀ,zarmikˀ,zarmikˀ,zarmikˀ,zarmikˀ,zarmikˀ,zarmikˀ,zarmikˀ,zarmikˀ,zarmikˀ,zarmikˀ,zarmikˀ,zarmikˀ,zarmikˀ,zarmikˀ,zarmikˀ,zarmikˀ,zarmikˀ,zarmikˀ,zarmikˀ,zarmikˀ,zarmikˀ,zarmikˀ,zarmikˀ
east2295,švester'kind,švester'kind,švester'kind,švester'kind,švester'kind,švester'kind,švester'kind,švester'kind,švester'kind,švester'kind,švester'kind,švester'kind,švester'kind,švester'kind,švester'kind,švester'kind,švester'kind,švester'kind,švester'kind,švester'kind,švester'kind,švester'kind,švester'kind,švester'kind,švester'kind,švester'kind,švester'kind,švester'kind,švester'kind,švester'kind,švester'kind,švester'kind
east2447,tuanga'ane,taina,tuanga'ane,taina,tuanga'ane,taina,tuanga'ane,taina,tuanga'ane,taina,tuanga'ane,taina,tuanga'ane,taina,tuanga'ane,taina,taina,tuanga'ane,taina,tuanga'ane,taina,tuanga'ane,taina,tuanga'ane,taina,tuanga'ane,taina,tuanga'ane,taina,tuanga'ane,taina,tuanga'ane
ekon1238,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana
elam1244,iza:oei-za,iza:oei-za,iza:oei-za,iza:oei-za,iza:oei-za,iza:oei-za,iza:oei-za,iza:oei-za,iza:oei-za,iza:oei-za,iza:oei-za,iza:oei-za,iza:oei-za,iza:oei-za,iza:oei-za,iza:oei-za,iza:oei-za,iza:oei-za,iza:oei-za,iza:oei-za,iza:oei-za,iza:oei-za,iza:oei-za,iza:oei-za,iza:oei-za,iza:oei-za,iza:oei-za,iza:oei-za,iza:oei-za,iza:oei-za,iza:oei-za,iza:oei-za
enap1235,ñaʔtsú,-yako,ñaʔtsú,-yako,maté,puamó,maté,puamó,maté,puamó,maté,puamó,ñaʔtsú,yakó,ñaʔtsú,yakó,ñaʔtsú,-yako,ñaʔtsú,-yako,maté,puamó,maté,puamó,maté,puamó,maté,puamó,ñaʔtsú,yakó,ñaʔtsú,yakó
erzy1239,lʸelʸa,lʸelʸa,lʸelʸa,lʸelʸa,lʸelʸa,lʸelʸa,lʸelʸa,lʸelʸa,lʸelʸa,lʸelʸa,lʸelʸa,lʸelʸa,lʸelʸa,lʸelʸa,lʸelʸa,lʸelʸa,lʸelʸa,lʸelʸa,lʸelʸa,lʸelʸa,lʸelʸa,lʸelʸa,lʸelʸa,lʸelʸa,lʸelʸa,lʸelʸa,lʸelʸa,lʸelʸa,lʸelʸa,lʸelʸa,lʸelʸa,lʸelʸa
esto1258,nəbu,nəbu,nəbu,nəbu,nəbu,nəbu,nəbu,nəbu,nəbu,nəbu,nəbu,nəbu,nəbu,nəbu,nəbu,nəbu,nəbu,nəbu,nəbu,nəbu,nəbu,nəbu,nəbu,nəbu,nəbu,nəbu,nəbu,nəbu,nəbu,nəbu,nəbu,nəbu
fang1246,kadzam,monedzan,kadzam,monedzan,kadzam,monedzan,kadzam,monedzan,kadzam,monedzan,kadzam,monedzan,kadzam,monedzan,kadzam,monedzan,monedzan,ndômzam,monedzan,ndômzam,monedzan,ndômzam,monedzan,ndômzam,monedzan,ndômzam,monedzan,ndômzam,monedzan,ndômzam,monedzan,ndômzam
finn1318,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku
fris1239,nicht,neef,nicht,neef,nicht,neef,nicht,neef,nicht,neef,nicht,neef,nicht,neef,nicht,neef,nicht,neef,nicht,neef,nicht,neef,nicht,neef,nicht,neef,nicht,neef,nicht,neef,nicht,neef
ghod1238,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal
giga1238,wacab,wacab,wacab,wacab,wacab,wacab,wacab,wacab,wacab,wacab,wacab,wacab,wacab,wacab,wacab,wacab,wacab,wacab,wacab,wacab,wacab,wacab,wacab,wacab,wacab,wacab,wacab,wacab,wacab,wacab,wacab,wacab
goth1244,gadiliggs,gadiliggs,gadiliggs,gadiliggs,gadiliggs,gadiliggs,gadiliggs,gadiliggs,gadiliggs,gadiliggs,gadiliggs,gadiliggs,gadiliggs,gadiliggs,gadiliggs,gadiliggs,gadiliggs,gadiliggs,gadiliggs,gadiliggs,gadiliggs,gadiliggs,gadiliggs,gadiliggs,gadiliggs,gadiliggs,gadiliggs,gadiliggs,gadiliggs,gadiliggs,gadiliggs,gadiliggs
guaj1256,haininawai,harəpihárə,haininawai,harəpihárə,ɨhi-na,harəwaiya,ɨhi-na,harəwaiya,emeriko,harəwaiya,emeriko,harəwaiya,haininawai,harəpiana,haininawai,harəpiana,harəpihárə,ikuwɨčiá,harəpihárə,ikuwɨčiá,ɨhi-na,iménə,ɨhi-na,iménə,mɨmɨrə,mɨmɨrə,mɨmɨrə,mɨmɨrə,harəpihárə,ikuwɨčiá,harəpihárə,ikuwɨčiá
guja1252,pitarāibahan,pitarāibhāi,pitarāibahan,pitarāibhāi,phoiyātbahan,phoiyātbhāi,phoiyātbahan,phoiyātbhāi,mauḷāibahan,mauḷāibhāi,mauḷāibahan,mauḷāibhāi,masiyābahan,masiyābhāi,masiyābahan,masiyābhāi,pitarāibahan,pitarāibhāi,pitarāibahan,pitarāibhāi,phoiyātbahan,phoiyātbhāi,phoiyātbahan,phoiyātbhāi,mauḷāibahan,mauḷāibhāi,mauḷāibahan,mauḷāibhāi,masiyābahan,masiyābhāi,masiyābahan,masiyābhāi
haaa1252,umwishiki,mwenewachu,umwishiki,mwenewachu,umuvyara,umuvyara,umuvyara,umuvyara,umuvyara,umuvyara,umuvyara,umuvyara,umwishiki,mwenewachu,umwishiki,mwenewachu,mwenewachu,umusaza,mwenewachu,umusaza,umuvyara,umuvyara,umuvyara,umuvyara,umuvyara,umuvyara,umuvyara,umuvyara,mwenewachu,umusaza,mwenewachu,umusaza
haus1257,ɗan'uwa,ɗan'uwa,ɗan'uwa,ɗan'uwa,ɗan'uwa,ɗan'uwa,ɗan'uwa,ɗan'uwa,ɗan'uwa,ɗan'uwa,ɗan'uwa,ɗan'uwa,ɗan'uwa,ɗan'uwa,ɗan'uwa,ɗan'uwa,ɗan'uwa,ɗan'uwa,ɗan'uwa,ɗan'uwa,ɗan'uwa,ɗan'uwa,ɗan'uwa,ɗan'uwa,ɗan'uwa,ɗan'uwa,ɗan'uwa,ɗan'uwa,ɗan'uwa,ɗan'uwa,ɗan'uwa,ɗan'uwa
hawa1245,kaikuahine,kaikuaʔana,kaikuahine,kaikuaʔana,kaikuahine,kaikuaʔana,kaikuahine,kaikuaʔana,kaikuahine,kaikuaʔana,kaikuahine,kaikuaʔana,kaikuahine,kaikuaʔana,kaikuahine,kaikuaʔana,kaikuaʔana,kaikuane,kaikuaʔana,kaikuane,kaikuaʔana,kaikuane,kaikuaʔana,kaikuane,kaikuaʔana,kaikuane,kaikuaʔana,kaikuane,kaikuaʔana,kaikuane,kaikuaʔana,kaikuane
haya1250,omulúmuna,omulúmuna,omulúmuna,omulúmuna,omwi:wa,omwi:wa,omwi:wa,omwi:wa,ma:wento,malûmi,ma:wento,malûmi,omulúmuna,omulúmuna,omulúmuna,omulúmuna,omulúmuna,omulúmuna,omulúmuna,omulúmuna,omwi:wa,omwi:wa,omwi:wa,omwi:wa,ma:wento,malûmi,ma:wento,malûmi,omulúmuna,omulúmuna,omulúmuna,omulúmuna
here1253,omu-zamumue,omu-zamumue,omu-zamumue,omu-zamumue,omu-zamumue,omu-zamumue,omu-zamumue,omu-zamumue,omu-zamumue,omu-zamumue,omu-zamumue,omu-zamumue,omu-zamumue,omu-zamumue,omu-zamumue,omu-zamumue,omu-zamumue,omu-zamumue,omu-zamumue,omu-zamumue,omu-zamumue,omu-zamumue,omu-zamumue,omu-zamumue,omu-zamumue,omu-zamumue,omu-zamumue,omu-zamumue,omu-zamumue,omu-zamumue,omu-zamumue,omu-zamumue
hidd1238,was̄ʕal,was̄ʕal,was̄ʕal,was̄ʕal,was̄ʕal,was̄ʕal,was̄ʕal,was̄ʕal,was̄ʕal,was̄ʕal,was̄ʕal,was̄ʕal,was̄ʕal,was̄ʕal,was̄ʕal,was̄ʕal,was̄ʕal,was̄ʕal,was̄ʕal,was̄ʕal,was̄ʕal,was̄ʕal,was̄ʕal,was̄ʕal,was̄ʕal,was̄ʕal,was̄ʕal,was̄ʕal,was̄ʕal,was̄ʕal,was̄ʕal,was̄ʕal
high1278,i-wehka-swa-i-kni-w,i-wehka-swa-i-kni-w,i-wehka-swa-i-kni-w,i-wehka-swa-i-kni-w,i-wehka-swa-i-kni-w,i-wehka-swa-i-kni-w,i-wehka-swa-i-kni-w,i-wehka-swa-i-kni-w,i-wehka-swa-i-kni-w,i-wehka-swa-i-kni-w,i-wehka-swa-i-kni-w,i-wehka-swa-i-kni-w,i-wehka-swa-i-kni-w,i-wehka-swa-i-kni-w,i-wehka-swa-i-kni-w,i-wehka-swa-i-kni-w,i-wehka-swa-i-kni-w,i-wehka-swa-i-kni-w,i-wehka-swa-i-kni-w,i-wehka-swa-i-kni-w,i-wehka-swa-i-kni-w,i-wehka-swa-i-kni-w,i-wehka-swa-i-kni-w,i-wehka-swa-i-kni-w,i-wehka-swa-i-kni-w,i-wehka-swa-i-kni-w,i-wehka-swa-i-kni-w,i-wehka-swa-i-kni-w,i-wehka-swa-i-kni-w,i-wehka-swa-i-kni-w,i-wehka-swa-i-kni-w,i-wehka-swa-i-kni-w
hind1269,caceribahan,cacerabhai,caceribahan,cacerabhai,phupheribahan,phupherabhai,phupheribahan,phupherabhai,mameribahan,mamerabhai,mameribahan,mamerabhai,mɔseribahan,mɔserabhai,mɔseribahan,mɔserabhai,caceribahan,cacerabhai,caceribahan,cacerabhai,phupheribahan,phupherabhai,phupheribahan,phupherabhai,mameribahan,mamerabhai,mameribahan,mamerabhai,mɔseribahan,mɔserabhai,mɔseribahan,mɔserabhai
hinu1240,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal
hitt1242,anninniyami-,anninniyami-,anninniyami-,anninniyami-,anninniyami-,anninniyami-,anninniyami-,anninniyami-,anninniyami-,anniniyami-,anninniyami-,anniniyami-,anninniyami-,anninniyami-,anninniyami-,anninniyami-,anninniyami-,anninniyami-,anninniyami-,anninniyami-,anninniyami-,anninniyami-,anninniyami-,anninniyami-,anninniyami-,anniniyami-,anninniyami-,anniniyami-,anninniyami-,anninniyami-,anninniyami-,anninniyami-
homs1234,zarmig,zarmig,zarmig,zarmig,zarmig,zarmig,zarmig,zarmig,zarmig,zarmig,zarmig,zarmig,zarmig,zarmig,zarmig,zarmig,zarmig,zarmig,zarmig,zarmig,zarmig,zarmig,zarmig,zarmig,zarmig,zarmig,zarmig,zarmig,zarmig,zarmig,zarmig,zarmig
hung1274,unokatestvér,unokatestvér,unokatestvér,unokatestvér,unokatestvér,unokatestvér,unokatestvér,unokatestvér,unokatestvér,unokatestvér,unokatestvér,unokatestvér,unokatestvér,unokatestvér,unokatestvér,unokatestvér,unokatestvér,unokatestvér,unokatestvér,unokatestvér,unokatestvér,unokatestvér,unokatestvér,unokatestvér,unokatestvér,unokatestvér,unokatestvér,unokatestvér,unokatestvér,unokatestvér,unokatestvér,unokatestvér
hunz1247,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal
icel1247,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn
igna1246,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi
ingr1248,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi
ingu1240,dä-wešiywoʕ,dä-wešiywoʕ,dä-wešiywoʕ,dä-wešiywoʕ,dä-wešiywoʕ,dä-wešiywoʕ,dä-wešiywoʕ,dä-wešiywoʕ,dä-wešiywoʕ,dä-wešiywoʕ,dä-wešiywoʕ,dä-wešiywoʕ,dä-wešiywoʕ,dä-wešiywoʕ,dä-wešiywoʕ,dä-wešiywoʕ,dä-wešiywoʕ,dä-wešiywoʕ,dä-wešiywoʕ,dä-wešiywoʕ,dä-wešiywoʕ,dä-wešiywoʕ,dä-wešiywoʕ,dä-wešiywoʕ,dä-wešiywoʕ,dä-wešiywoʕ,dä-wešiywoʕ,dä-wešiywoʕ,dä-wešiywoʕ,dä-wešiywoʕ,dä-wešiywoʕ,dä-wešiywoʕ
inxo1238,wacahaw,wacahaw,wacahaw,wacahaw,wacahaw,wacahaw,wacahaw,wacahaw,wacahaw,wacahaw,wacahaw,wacahaw,wacahaw,wacahaw,wacahaw,wacahaw,wacahaw,wacahaw,wacahaw,wacahaw,wacahaw,wacahaw,wacahaw,wacahaw,wacahaw,wacahaw,wacahaw,wacahaw,wacahaw,wacahaw,wacahaw,wacahaw
iris1253,colceathar,colceathar,colceathar,colceathar,colceathar,colceathar,colceathar,colceathar,colceathar,colceathar,colceathar,colceathar,colceathar,colceathar,colceathar,colceathar,colceathar,colceathar,colceathar,colceathar,colceathar,colceathar,colceathar,colceathar,colceathar,colceathar,colceathar,colceathar,colceathar,colceathar,colceathar,colceathar
ital1282,cugina,cugino,cugina,cugino,cugina,cugino,cugina,cugino,cugina,cugino,cugina,cugino,cugina,cugino,cugina,cugino,cugina,cugino,cugina,cugino,cugina,cugino,cugina,cugino,cugina,cugino,cugina,cugino,cugina,cugino,cugina,cugino
iton1250,pataʔweʔname,pataʔweʔname,pataʔweʔname,pataʔweʔname,pataʔweʔname,pataʔweʔname,pataʔweʔname,pataʔweʔname,pataʔweʔname,pataʔweʔname,pataʔweʔname,pataʔweʔname,pataʔweʔname,pataʔweʔname,pataʔweʔname,pataʔweʔname,pataʔweʔname,pataʔweʔname,pataʔweʔname,pataʔweʔname,pataʔweʔname,pataʔweʔname,pataʔweʔname,pataʔweʔname,pataʔweʔname,pataʔweʔname,pataʔweʔname,pataʔweʔname,pataʔweʔname,pataʔweʔname,pataʔweʔname,pataʔweʔname
itsa1239,kʼʷiniuc̄iqʼar,kʼʷiniuc̄iqʼar,kʼʷiniuc̄iqʼar,kʼʷiniuc̄iqʼar,kʼʷiniuc̄iqʼar,kʼʷiniuc̄iqʼar,kʼʷiniuc̄iqʼar,kʼʷiniuc̄iqʼar,kʼʷiniuc̄iqʼar,kʼʷiniuc̄iqʼar,kʼʷiniuc̄iqʼar,kʼʷiniuc̄iqʼar,kʼʷiniuc̄iqʼar,kʼʷiniuc̄iqʼar,kʼʷiniuc̄iqʼar,kʼʷiniuc̄iqʼar,kʼʷiniuc̄iqʼar,kʼʷiniuc̄iqʼar,kʼʷiniuc̄iqʼar,kʼʷiniuc̄iqʼar,kʼʷiniuc̄iqʼar,kʼʷiniuc̄iqʼar,kʼʷiniuc̄iqʼar,kʼʷiniuc̄iqʼar,kʼʷiniuc̄iqʼar,kʼʷiniuc̄iqʼar,kʼʷiniuc̄iqʼar,kʼʷiniuc̄iqʼar,kʼʷiniuc̄iqʼar,kʼʷiniuc̄iqʼar,kʼʷiniuc̄iqʼar,kʼʷiniuc̄iqʼar
iyoj1235,-tyelas,-tyelas,-tyelas,-tyelas,-tyelas,-tyelas,-tyelas,-tyelas,-tyelas,-tyelas,-tyelas,-tyelas,-tyelas,-tyelas,-tyelas,-tyelas,-tyelas,-tyelas,-tyelas,-tyelas,-tyelas,-tyelas,-tyelas,-tyelas,-tyelas,-tyelas,-tyelas,-tyelas,-tyelas,-tyelas,-tyelas,-tyelas
jama1262,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn
jica1244,сílá',sìkìsé',сílá',sìkìsé',сílá',sìkìsé',сílá',sìkìsé',сílá',sìkìsé',сílá',sìkìsé',сílá',sìkìsé',сílá',sìkìsé',сílá',sìkìsé',сílá',sìkìsé',сílá',sìkìsé',сílá',sìkìsé',сílá',sìkìsé',сílá',sìkìsé',сílá',sìkìsé',сílá',sìkìsé'
jude1256,kuxole,kuxole,kuxole,kuxole,kuxole,kuxole,kuxole,kuxole,kuxole,kuxole,kuxole,kuxole,kuxole,kuxole,kuxole,kuxole,kuxole,kuxole,kuxole,kuxole,kuxole,kuxole,kuxole,kuxole,kuxole,kuxole,kuxole,kuxole,kuxole,kuxole,kuxole,kuxole
kaiw1246,che-rendý,che-rikeý,chen-rendý-miní,che-riwý,che-rendý,che-rikeý,chen-rendý-miní,che-riwý,che-rendý,che-rikeý,chen-rendý-miní,che-riwý,che-rendý,che-rikeý,chen-rendý-miní,che-riwý,che-ruké,che-kywý,che-kypyý,che-kywykeý,che-ruké,che-kywý,che-kypyý,che-kywykeý,che-ruké,che-kywý,che-kypyý,che-kywykeý,che-ruké,che-kywý,che-kypyý,che-kywykeý
kalk1246,puwa,thapu,puwa,thapu,kungi,muwangu,kungi,muwangu,kungi,muwangu,kungi,muwangu,puwa,thapu,puwa,thapu,puwa,thapu,puwa,thapu,kungi,muwangu,kungi,muwangu,kungi,muwangu,kungi,muwangu,puwa,thapu,puwa,thapu
kama1373,iereinýt,ierikeýt,iereinýt,ieriwýt,iereinýt,ierikeýt,iereinýt,ieriwýt,iereinýt,ierikeýt,iereinýt,ieriwýt,iereinýt,ierikeýt,iereinýt,ieriwýt,ierikét,iekiwýt,iekypiýt,iekiwýt,ierikét,iekiwýt,iekypiýt,iekiwýt,ierikét,iekiwýt,iekypiýt,iekiwýt,ierikét,iekiwýt,iekypiýt,iekiwýt
kamb1297,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa
kaon1241,koloja,koloja,nkasa,nkasa,koloja,koloja,nkasa,nkasa,koloja,koloja,nkasa,nkasa,koloja,koloja,nkasa,nkasa,koloja,koloja,nkasa,nkasa,koloja,koloja,nkasa,nkasa,koloja,koloja,nkasa,nkasa,koloja,koloja,nkasa,nkasa
kapi1249,tuahina,tuahina,tuahina,tuahina,tuahina,tuahina,tuahina,tuahina,tuahina,tuahina,tuahina,tuahina,tuahina,tuahina,tuahina,tuahina,tuahina,tuahina,tuahina,tuahina,tuahina,tuahina,tuahina,tuahina,tuahina,tuahina,tuahina,tuahina,tuahina,tuahina,tuahina,tuahina
kash1277,piter-beni,pitur-boi,piter-beni,pitur-boi,pofter-beni,poftur-boi,pofter-beni,poftur-boi,mamter-beni,mamtur-boi,mamter-beni,mamtur-boi,master-beni,mastur-boi,master-beni,mastur-boi,piter-beni,pitur-boi,piter-beni,pitur-boi,pofter-beni,poftur-boi,pofter-beni,poftur-boi,mamter-beni,mamtur-boi,mamter-beni,mamtur-boi,master-beni,mastur-boi,master-beni,mastur-boi
kaur1267,kou-wou,kou-wou,kou-wou,kou-wou,kou-wou,kou-wou,kou-wou,kou-wou,kou-wou,kou-wou,kou-wou,kou-wou,kou-wou,kou-wou,kou-wou,kou-wou,kou-wou,kou-wou,kou-wou,kou-wou,kou-wou,kou-wou,kou-wou,kou-wou,kou-wou,kou-wou,kou-wou,kou-wou,kou-wou,kou-wou,kou-wou,kou-wou
kaya1329,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet
kett1243,amdus,amdun,amdus,amdun,amdus,amdun,amdus,amdun,amdus,amdun,amdus,amdun,amdus,amdun,amdus,amdun,amdus,amdun,amdus,amdun,amdus,amdun,amdus,amdun,amdus,amdun,amdus,amdun,amdus,amdun,amdus,amdun
