Glottocode,mFBeD,mFBeS,mFByD,mFByS,mFZeD,mFZeS,mFZyD,mFZyS,mMBeD,mMBeS,mMByD,mMByS,mMZeD,mMZeS,mMZyD,mMZyS,wFBeD,wFBeS,wFByD,wFByS,wFZeD,wFZeS,wFZyD,wFZyS,wMBeD,wMBeS,wMByD,wMByS,wMZeD,wMZeS,wMZyD,wMZyS
khan1273,aspux,aspux,aspux,aspux,aspux,aspux,aspux,aspux,aspux,aspux,aspux,aspux,aspux,aspux,aspux,aspux,aspux,aspux,aspux,aspux,aspux,aspux,aspux,aspux,aspux,aspux,aspux,aspux,aspux,aspux,aspux,aspux
kiku1240,mwanawababam'uk'ur'u,mwanawababam'uk'ur'u,mwanawababamunyinyi,mwanawababamunyinyi,mwanawatata,mwanawatata,mwanawatata,mwanawatata,mwanawamama,mwanawamama,mwanawamama,mwanawamama,mwanawatata,mwanawatata,mwanawatata,mwanawatata,mwanawababam'uk'ur'u,mwanawababam'uk'ur'u,mwanawababamunyinyi,mwanawababamunyinyi,mwanawatata,mwanawatata,mwanawatata,mwanawatata,mwanawamama,mwanawamama,mwanawamama,mwanawamama,mwanawatata,mwanawatata,mwanawatata,mwanawatata
komc1235,wàynlùmsɨ̀nì,wàynlùmsɨ̀nì,wàynlùmsɨ̀nì,wàynlùmsɨ̀nì,wàynwàyn-nànì,wàynwàyn-nànì,wàynwàyn-nànì,wàynwàyn-nànì,wàynlùmsɨ̀nì,wàynlùmsɨ̀nì,wàynlùmsɨ̀nì,wàynlùmsɨ̀nì,wàynwàyn-nànì,wàynwàyn-nànì,wàynwàyn-nànì,wàynwàyn-nànì,wàynlùmsɨ̀nì,wàynlùmsɨ̀nì,wàynlùmsɨ̀nì,wàynlùmsɨ̀nì,wàynwàyn-nànì,wàynwàyn-nànì,wàynwàyn-nànì,wàynwàyn-nànì,wàynlùmsɨ̀nì,wàynlùmsɨ̀nì,wàynlùmsɨ̀nì,wàynlùmsɨ̀nì,wàynwàyn-nànì,wàynwàyn-nànì,wàynwàyn-nànì,wàynwàyn-nànì
komi1268,vogavok,vogavok,vogavok,vogavok,vogavok,vogavok,vogavok,vogavok,vogavok,vogavok,vogavok,vogavok,vogavok,vogavok,vogavok,vogavok,vogavok,vogavok,vogavok,vogavok,vogavok,vogavok,vogavok,vogavok,vogavok,vogavok,vogavok,vogavok,vogavok,vogavok,vogavok,vogavok
komo1260,aoa,aoa,aoa,aoa,ayane,ayane,ayane,ayane,auwani,ayane,auwani,ayane,aoa,aoa,aoa,aoa,aoa,aoa,aoa,aoa,ayane,ayane,ayane,ayane,auwani,ayane,auwani,ayane,aoa,aoa,aoa,aoa
kuka1246,katiwa,katiwa,katiwa,katiwa,ngarrumpa,ngarrumpa,ngarrumpa,ngarrumpa,ngarrumpa,ngarrumpa,ngarrumpa,ngarrumpa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,ngarrumpa,ngarrumpa,ngarrumpa,ngarrumpa,ngarrumpa,ngarrumpa,ngarrumpa,ngarrumpa,katiwa,katiwa,katiwa,katiwa
kumy1244,уьзукъари,уьзукъари,уьзукъари,уьзукъари,уьзукъари,уьзукъари,уьзукъари,уьзукъари,уьзукъари,уьзукъари,уьзукъари,уьзукъари,уьзукъари,уьзукъари,уьзукъари,уьзукъари,уьзукъари,уьзукъари,уьзукъари,уьзукъари,уьзукъари,уьзукъари,уьзукъари,уьзукъари,уьзукъари,уьзукъари,уьзукъари,уьзукъари,уьзукъари,уьзукъари,уьзукъари,уьзукъари
kunz1243,vatsg-al,vatsg-al,vatsg-al,vatsg-al,vatsg-al,vatsg-al,vatsg-al,vatsg-al,vatsg-al,vatsg-al,vatsg-al,vatsg-al,vatsg-al,vatsg-al,vatsg-al,vatsg-al,vatsg-al,vatsg-al,vatsg-al,vatsg-al,vatsg-al,vatsg-al,vatsg-al,vatsg-al,vatsg-al,vatsg-al,vatsg-al,vatsg-al,vatsg-al,vatsg-al,vatsg-al,vatsg-al
kwas1243,miun,miun,miun,miun,miun,miun,miun,miun,miun,miun,miun,miun,miun,miun,miun,miun,miun,miun,miun,miun,miun,miun,miun,miun,miun,miun,miun,miun,miun,miun,miun,miun
lahn1241,pitrēr,pitrēr,pitrēr,pitrēr,phupphēr,phupphēr,phupphēr,phupphēr,môlēr,môlēr,môlēr,môlēr,masēr,masēr,masēr,masēr,pitrēr,pitrēr,pitrēr,pitrēr,phupphēr,phupphēr,phupphēr,phupphēr,môlēr,môlēr,môlēr,môlēr,masēr,masēr,masēr,masēr
lamb1271,inkasi,umukwasu,inkasi,umukwasu,umufyala,umufyala,umufyala,umufyala,umufyala,umufyala,umufyala,umufyala,inkasi,umukwasu,inkasi,umukwasu,inkasi,umukwasu,inkasi,umukwasu,umufyala,umufyala,umufyala,umufyala,umufyala,umufyala,umufyala,umufyala,inkasi,umukwasu,inkasi,umukwasu
lang1320,binamʊ,binamʊ,binamʊ,binamʊ,binamʊ,mwaniitu,binamʊ,mwaniitu,binamʊ,binamʊ,binamʊ,binamʊ,binamʊ,binamʊ,binamʊ,binamʊ,binamʊ,binamʊ,binamʊ,binamʊ,mwaniituaanyu,binamʊ,mwaniituaanyu,binamʊ,binamʊ,binamʊ,binamʊ,binamʊ,binamʊ,binamʊ,binamʊ,binamʊ
lati1261,sororpatruelis,fraterpatruelis,sororpatruelis,fraterpatruelis,amitina,amitinus,amitina,amitinus,consobrina,consobrinu,consobrina,consobrinu,consobrina,consobrinu,consobrina,consobrinu,sororpatruelis,fraterpatruelis,sororpatruelis,fraterpatruelis,amitina,amitinus,amitina,amitinus,consobrina,consobrinu,consobrina,consobrinu,consobrina,consobrinu,consobrina,consobrinu
latv1249,brālēns,brālēns,brālēns,brālēns,brālēns,brālēns,brālēns,brālēns,brālēns,brālēns,brālēns,brālēns,brālēns,brālēns,brālēns,brālēns,brālēns,brālēns,brālēns,brālēns,brālēns,brālēns,brālēns,brālēns,brālēns,brālēns,brālēns,brālēns,brālēns,brālēns,brālēns,brālēns
laua1243,weka,tuaka,weka,tachi,watchi,karua,watchi,karua,watchi,karua,watchi,karua,weka,tuaka,weka,tachi,tuaka,weka,tachi,weka,karua,watchi,karua,watchi,karua,watchi,karua,watchi,tuaka,weka,tachi,weka
leng1262,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ
ling1263,ndeko,tatámokóló,ndeko,tatámokóló,ndeko,tatámokóló,ndeko,tatámokóló,ndeko,tatámokóló,ndeko,tatámokóló,ndeko,tatámokóló,ndeko,tatámokóló,ndeko,tatámokóló,ndeko,tatámokóló,ndeko,tatámokóló,ndeko,tatámokóló,ndeko,tatámokóló,ndeko,tatámokóló,ndeko,tatámokóló,ndeko,tatámokóló
lipa1241,сìt'cílà',cìkìsí,сìt'cílà',cìkìsí,сìt'cílà',cìkìsí,сìt'cílà',cìkìsí,сìt'cílà',cìkìsí,сìt'cílà',cìkìsí,сìt'cílà',cìkìsí,сìt'cílà',cìkìsí,сìt'cílà',cìkìsí,сìt'cílà',cìkìsí,сìt'cílà',cìkìsí,сìt'cílà',cìkìsí,сìt'cílà',cìkìsí,сìt'cílà',cìkìsí,сìt'cílà',cìkìsí,сìt'cílà',cìkìsí
lith1251,pusseserė,pusbrolis,pusseserė,pusbrolis,pusseserė,pusbrolis,pusseserė,pusbrolis,pusseserė,pusbrolis,pusseserė,pusbrolis,pusseserė,pusbrolis,pusseserė,pusbrolis,pusseserė,pusbrolis,pusseserė,pusbrolis,pusseserė,pusbrolis,pusseserė,pusbrolis,pusseserė,pusbrolis,pusseserė,pusbrolis,pusseserė,pusbrolis,pusseserė,pusbrolis
lozi1239,kaizeli,muhulwani,kaizeli,munyani,kaizeli,muhulwani,kaizeli,munyani,kaizeli,muhulwani,kaizeli,munyani,kaizeli,muhulwani,kaizeli,munyani,kaizeli,muhulwani,kaizeli,munyani,kaizeli,muhulwani,kaizeli,munyani,kaizeli,muhulwani,kaizeli,munyani,kaizeli,muhulwani,kaizeli,munyani
luba1249,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu
lubu1243,suludunbebyai,suludunleyaki,kapingsan,kapingsan,suludunbebyai,suludunleyaki,kapingsan,kapingsan,suludunbebyai,suludunleyaki,kapingsan,kapingsan,suludunbebyai,suludunleyaki,kapingsan,kapingsan,suludunbebyai,suludunleyaki,kapingsan,kapingsan,suludunbebyai,suludunleyaki,kapingsan,kapingsan,suludunbebyai,suludunleyaki,kapingsan,kapingsan,suludunbebyai,suludunleyaki,kapingsan,kapingsan
lugu1238,lumbu,kulu,lumbu,kulu,mtani,mtani,mtani,mtani,mtani,mtani,mtani,mtani,lumbu,kulu,lumbu,kulu,kulu,lumbu,kulu,lumbu,mtani,mtani,mtani,mtani,mtani,mtani,mtani,mtani,kulu,lumbu,kulu,lumbu
maca1260,-elpik,-elpik,-elpik,-elpik,-elpik,-elpik,-elpik,-elpik,-elpik,-elpik,-elpik,-elpik,-elpik,-elpik,-elpik,-elpik,-ilpik,-ilpik,-ilpik,-ilpik,-ilpik,-ilpik,-ilpik,-ilpik,-ilpik,-ilpik,-ilpik,-ilpik,-ilpik,-ilpik,-ilpik,-ilpik
mace1250,bratučeda,bratučed,bratučeda,bratučed,bratučeda,bratučed,bratučeda,bratučed,bratučeda,bratučed,bratučeda,bratučed,bratučeda,bratučed,bratučeda,bratučed,bratučeda,bratučed,bratučeda,bratučed,bratučeda,bratučed,bratučeda,bratučed,bratučeda,bratučed,bratučeda,bratučed,bratučeda,bratučed,bratučeda,bratučed
macu1259,uwi,uwi,uwi,uwi,uwi,uwi,uwi,uwi,uwi,uwi,uwi,uwi,uwi,uwi,uwi,uwi,uwi,uwi,uwi,uwi,uwi,uwi,uwi,uwi,uwi,uwi,uwi,uwi,uwi,uwi,uwi,uwi
mait1250,pitiaut-bahan,pitiaut-bhai,pitiaut-bahan,pitiaut-bhai,pisiáutbahin,pisiáutbhāy,pisiáutbahin,pisiáutbhāy,mamiáutbahin,mamiáutbhāy,mamiáutbahin,mamiáutbhāy,masiáutbahin,masiáutbhāy,masiáutbahin,masiáutbhāy,pitiaut-bahan,pitiaut-bhai,pitiaut-bahan,pitiaut-bhai,pisiáutbahin,pisiáutbhāy,pisiáutbahin,pisiáutbhāy,mamiáutbahin,mamiáutbhāy,mamiáutbahin,mamiáutbhāy,masiáutbahin,masiáutbhāy,masiáutbahin,masiáutbhāy
mako1251,kakawalikola,kakawalikola,kakawalikola,kakawalikola,kakawalikola,kakawalikola,kakawalikola,kakawalikola,kakawalikola,kakawalikola,kakawalikola,kakawalikola,kakawalikola,kakawalikola,kakawalikola,kakawalikola,kakawalikola,kakawalikola,kakawalikola,kakawalikola,kakawalikola,kakawalikola,kakawalikola,kakawalikola,kakawalikola,kakawalikola,kakawalikola,kakawalikola,kakawalikola,kakawalikola,kakawalikola,kakawalikola
mala1479,adeksapu-pu,adeksapu-pu,adeksapu-pu,adeksapu-pu,adeksapu-pu,adeksapu-pu,adeksapu-pu,adeksapu-pu,adeksapu-pu,adeksapu-pu,adeksapu-pu,adeksapu-pu,adeksapu-pu,adeksapu-pu,adeksapu-pu,adeksapu-pu,adeksapu-pu,adeksapu-pu,adeksapu-pu,adeksapu-pu,adeksapu-pu,adeksapu-pu,adeksapu-pu,adeksapu-pu,adeksapu-pu,adeksapu-pu,adeksapu-pu,adeksapu-pu,adeksapu-pu,adeksapu-pu,adeksapu-pu,adeksapu-pu
mang1401,tue'ine,tuakana,tue'ine,teina,tue'ine,tuakana,tue'ine,teina,tue'ine,tuakana,tue'ine,teina,tue'ine,tuakana,tue'ine,teina,tuakana,tugane,teina,tugane,tuakana,tugane,teina,tugane,tuakana,tugane,teina,tugane,tuakana,tugane,teina,tugane
mans1258,sasɨɣ,sasɨɣ,sasɨɣ,sasɨɣ,sasɨɣ,sasɨɣ,sasɨɣ,sasɨɣ,sasɨɣ,sasɨɣ,sasɨɣ,sasɨɣ,sasɨɣ,sasɨɣ,sasɨɣ,sasɨɣ,sasɨɣ,sasɨɣ,sasɨɣ,sasɨɣ,sasɨɣ,sasɨɣ,sasɨɣ,sasɨɣ,sasɨɣ,sasɨɣ,sasɨɣ,sasɨɣ,sasɨɣ,sasɨɣ,sasɨɣ,sasɨɣ
mapu1245,mɨn̯a,mɨn̯a,mɨn̯a,mɨn̯a,mɨn̯a,mɨn̯a,mɨn̯a,mɨn̯a,mɨn̯a,mɨn̯a,mɨn̯a,mɨn̯a,mɨn̯a,mɨn̯a,mɨn̯a,mɨn̯a,mɨn̯a,mɨn̯a,mɨn̯a,mɨn̯a,mɨn̯a,mɨn̯a,mɨn̯a,mɨn̯a,mɨn̯a,mɨn̯a,mɨn̯a,mɨn̯a,mɨn̯a,mɨn̯a,mɨn̯a,mɨn̯a
maqu1238,waiɲe,waiɲe,waiɲe,waiɲe,waiɲe,waiɲe,waiɲe,waiɲe,waiɲe,waiɲe,waiɲe,waiɲe,waiɲe,waiɲe,waiɲe,waiɲe,waiɲe,waiɲe,waiɲe,waiɲe,waiɲe,waiɲe,waiɲe,waiɲe,waiɲe,waiɲe,waiɲe,waiɲe,waiɲe,waiɲe,waiɲe,waiɲe
mara1378,chulat-bahiṇa,chulat-bhāū,chulat-bahiṇa,chulat-bhāū,āte-bahiṇa,āte-bhāū,āte-bahiṇa,āte-bhāū,māme-bahiṇa,māme-bhāū,māme-bahiṇa,māme-bhāū,māus-bahiṇa,māwasbhāū,māus-bahiṇa,māwasbhāū,chulat-bahiṇa,chulat-bhāū,chulat-bahiṇa,chulat-bhāū,āte-bahiṇa,āte-bhāū,āte-bahiṇa,āte-bhāū,māme-bahiṇa,māme-bhāū,māme-bahiṇa,māme-bhāū,māus-bahiṇa,māwasbhāū,māus-bahiṇa,māwasbhāū
mart1256,marlanku,kurta,marlanku,kurta,makurnta,makurnta,makurnta,makurnta,makurnta,makurnta,makurnta,makurnta,marlanku,kurta,marlanku,kurta,marlanku,kurta,marlanku,kurta,makurnta,makurnta,makurnta,makurnta,makurnta,makurnta,makurnta,makurnta,marlanku,kurta,marlanku,kurta
masa1299,yaaya,yaaya,yaaya,yaaya,yaaya,yaaya,yaaya,yaaya,yaaya,yaaya,yaaya,yaaya,khi-khy-anyå-nyinå,khi-khy-anyå-nyinå,khi-khy-anyå-nyinå,khi-khy-anyå-nyinå,yaaya,yaaya,yaaya,yaaya,yaaya,yaaya,yaaya,yaaya,yaaya,yaaya,yaaya,yaaya,khi-khy-anyå-nyinå,khi-khy-anyå-nyinå,khi-khy-anyå-nyinå,khi-khy-anyå-nyinå
mash1270,hanɨrɨ,hanɨrɨ,hanɨrɨ,hanɨrɨ,hanɨrɨ,hanɨrɨ,hanɨrɨ,hanɨrɨ,hanɨrɨ,hanɨrɨ,hanɨrɨ,hanɨrɨ,hanɨrɨ,hanɨrɨ,hanɨrɨ,hanɨrɨ,hanɨrɨ,hanɨrɨ,hanɨrɨ,hanɨrɨ,hanɨrɨ,hanɨrɨ,hanɨrɨ,hanɨrɨ,hanɨrɨ,hanɨrɨ,hanɨrɨ,hanɨrɨ,hanɨrɨ,hanɨrɨ,hanɨrɨ,hanɨrɨ
mbal1257,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni
mesc1238,cílà',cìkìs,cílà',cìkìs,cìɣóyé,cìkìs,cìɣóyé,cìkìs,cílà',cìkìs,cílà',cìkìs,cílà',cìkìs,cílà',cìkìs,cílà',cìkìs,cílà',cìkìs,cìɣóyé,cìkìs,cìɣóyé,cìkìs,cílà',cìkìs,cílà',cìkìs,cílà',cìkìs,cílà',cìkìs
mido1240,édí,édí,ánɟínássí,ánɟínúʃí,édí,édí,áɲɲínássí,áɲɲínúʃí,édí,édí,tízzínássí,tízzínúʃí,édí,édí,éŋéʃínássí,éŋéʃínúʃí,édí,édí,ánɟínássí,ánɟínúʃí,édí,édí,áɲɲínássí,áɲɲínúʃí,édí,édí,tízzínássí,tízzínúʃí,édí,édí,éŋéʃínássí,éŋéʃínúʃí
moco1246,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya
mode1248,exadelphi,exadelphos,exadelphi,exadelphos,exadelphi,exadelphos,exadelphi,exadelphos,exadelphi,exadelphos,exadelphi,exadelphos,exadelphi,exadelphos,exadelphi,exadelphos,exadelphi,exadelphos,exadelphi,exadelphos,exadelphi,exadelphos,exadelphi,exadelphos,exadelphi,exadelphos,exadelphi,exadelphos,exadelphi,exadelphos,exadelphi,exadelphos
mokp1239,ndomé,mwanyango,ndomé,mwanyango,ndomé,mwanyango,ndomé,mwanyango,mola,mwanyango,mola,mwanyango,mola,mwanyango,mola,mwanyango,mwanyango,ndomé,mwanyango,ndomé,mwanyango,ndomé,mwanyango,ndomé,mola,ndomé,mola,ndomé,mola,ndomé,mola,ndomé
mong1338,nkåna,botomolo,nkåna,bokume,nkaneomoto,nkaneomoto,nkaneomoto,nkaneomoto,bona,bona,bona,bona,nkaneomoto,nkaneomoto,nkaneomoto,nkaneomoto,nkåna,botomolo,nkåna,bokume,nkaneomoto,nkaneomoto,nkaneomoto,nkaneomoto,bona,bona,bona,bona,nkaneomoto,nkaneomoto,nkaneomoto,nkaneomoto
mpuo1241,util,util,util,util,util,util,util,util,util,util,util,util,util,util,util,util,util,util,util,util,util,util,util,util,util,util,util,util,util,util,util,util
nege1244,gizin,gizin,gizin,gizin,gizin,gizin,gizin,gizin,gizin,gizin,gizin,gizin,gizin,gizin,gizin,gizin,gizin,gizin,gizin,gizin,gizin,gizin,gizin,gizin,gizin,gizin,gizin,gizin,gizin,gizin,gizin,gizin
nepa1254,dīdī,daju,baihīnī,bhāī,dīdī,daju,baihīnī,bhāī,dīdī,dāzū,baihīnī,dāzū,dīdī,daju,baihīnī,mused-bhai,dīdī,daju,baihīnī,bhāī,dīdī,daju,baihīnī,bhāī,dīdī,dāzū,baihīnī,dāzū,dīdī,daju,baihīnī,mused-bhai
ngul1246,lumbu,mkulu,lumbu,mkulu,lumbu,mkulu,lumbu,mkulu,lumbu,mkulu,lumbu,mkulu,lumbu,mkulu,lumbu,mkulu,mkulu,lumbu,mkulu,lumbu,mkulu,lumbu,mkulu,lumbu,mkulu,lumbu,mkulu,lumbu,mkulu,lumbu,mkulu,lumbu
nhan1238,kaga,kaga,kaga,kaga,kaga,kaga,kaga,kaga,kaga,kaga,kaga,kaga,kaga,kaga,kaga,kaga,kaga,kaga,kaga,kaga,kaga,kaga,kaga,kaga,kaga,kaga,kaga,kaga,kaga,kaga,kaga,kaga
nina1238,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye
niue1239,mahakainaga,taokete,mahakainaga,tehina,mahakainaga,taokete,mahakainaga,tehina,mahakainaga,taokete,mahakainaga,tehina,mahakainaga,taokete,mahakainaga,tehina,taokete,mahakainaga,tehina,mahakainaga,taokete,mahakainaga,tehina,mahakainaga,taokete,mahakainaga,tehina,mahakainaga,taokete,mahakainaga,tehina,mahakainaga
niva1238,-čˀiniš,-čˀiniš,-čˀiniš,-čˀiniš,-čˀiniš,-čˀiniš,-čˀiniš,-čˀiniš,-čˀiniš,-čˀiniš,-čˀiniš,-čˀiniš,-čˀiniš,-čˀiniš,-čˀiniš,-čˀiniš,-čˀiniš,-čˀiniš,-čˀiniš,-čˀiniš,-čˀiniš,-čˀiniš,-čˀiniš,-čˀiniš,-čˀiniš,-čˀiniš,-čˀiniš,-čˀiniš,-čˀiniš,-čˀiniš,-čˀiniš,-čˀiniš
noga1249,аркалдас,аркалдас,аркалдас,аркалдас,аркалдас,аркалдас,аркалдас,аркалдас,аркалдас,аркалдас,аркалдас,аркалдас,аркалдас,аркалдас,аркалдас,аркалдас,аркалдас,аркалдас,аркалдас,аркалдас,аркалдас,аркалдас,аркалдас,аркалдас,аркалдас,аркалдас,аркалдас,аркалдас,аркалдас,аркалдас,аркалдас,аркалдас
nort1551,amá',bābí'i,böní'i,bañá'a,amá',bābí'i,böní'i,bañá'a,amá',bābí'i,böní'i,bañá'a,amá',bābí'i,böní'i,bañá'a,amá',bābí'i,böní'i,bañá'a,amá',bābí'i,böní'i,bañá'a,amá',bābí'i,böní'i,bañá'a,amá',bābí'i,böní'i,bañá'a
nort2641,dotmam,pismam,dotmam,pismam,keçmetî,kûrêmetî,keçmetî,kûrêmetî,dotxal,pisxal,dotxal,pisxal,dotxolat,pisxolat,dotxolat,pisxolat,dotmam,pismam,dotmam,pismam,keçmetî,kûrêmetî,keçmetî,kûrêmetî,dotxal,pisxal,dotxal,pisxal,dotxolat,pisxolat,dotxolat,pisxolat
nort2671,oɑmbeɑlli,oɑmbeɑlli,oɑmbeɑlli,oɑmbeɑlli,oɑmbeɑlli,oɑmbeɑlli,oɑmbeɑlli,oɑmbeɑlli,oɑmbeɑlli,oɑmbeɑlli,oɑmbeɑlli,oɑmbeɑlli,oɑmbeɑlli,oɑmbeɑlli,oɑmbeɑlli,oɑmbeɑlli,oɑmbeɑlli,oɑmbeɑlli,oɑmbeɑlli,oɑmbeɑlli,oɑmbeɑlli,oɑmbeɑlli,oɑmbeɑlli,oɑmbeɑlli,oɑmbeɑlli,oɑmbeɑlli,oɑmbeɑlli,oɑmbeɑlli,oɑmbeɑlli,oɑmbeɑlli,oɑmbeɑlli,oɑmbeɑlli
nort2697,emioglu,emioglu,emioglu,emioglu,emioglu,emioglu,emioglu,emioglu,emioglu,emioglu,emioglu,emioglu,emioglu,emioglu,emioglu,emioglu,emioglu,emioglu,emioglu,emioglu,emioglu,emioglu,emioglu,emioglu,emioglu,emioglu,emioglu,emioglu,emioglu,emioglu,emioglu,emioglu
nort2845,tuehine,tuaana,tuehine,teina,tuehine,tuaana,tuehine,teina,tuehine,tuaana,tuehine,teina,tuehine,tuaana,tuehine,teina,tuaana,tunane,teina,tunane,tuaana,tunane,teina,tunane,tuaana,tunane,teina,tunane,tuaana,tunane,teina,tunane
nort2942,ełedә́ke,ełechileke,ełedә́ke,ełechileke,ełedә́ke,ełechileke,ełedә́ke,ełechileke,ełedә́ke,ełechileke,ełedә́ke,ełechileke,ełedә́ke,ełechileke,ełedә́ke,ełechileke,ełedә́ke,ełechileke,ełedә́ke,ełechileke,ełedә́ke,ełechileke,ełedә́ke,ełechileke,ełedә́ke,ełechileke,ełedә́ke,ełechileke,ełedә́ke,ełechileke,ełedә́ke,ełechileke
nort2952,etim,gusum,etim,gusum,posim,posim,posim,posim,posim,posim,posim,posim,etim,gusum,etim,gusum,etim,gusum,etim,gusum,posim,posim,posim,posim,posim,posim,posim,posim,etim,gusum,etim,gusum
nort2972,ǰaba-kau,ǰaba-kau,ǰaba-kau,ǰaba-kau,ǰaba-kau,ǰaba-kau,ǰaba-kau,ǰaba-kau,ǰaba-kau,ǰaba-kau,ǰaba-kau,ǰaba-kau,ǰaba-kau,ǰaba-kau,ǰaba-kau,ǰaba-kau,ǰaba-kau,ǰaba-kau,ǰaba-kau,ǰaba-kau,ǰaba-kau,ǰaba-kau,ǰaba-kau,ǰaba-kau,ǰaba-kau,ǰaba-kau,ǰaba-kau,ǰaba-kau,ǰaba-kau,ǰaba-kau,ǰaba-kau,ǰaba-kau
