Glottocode,mBD,mBS,mD,mS,mZD,mZS,wBD,wBS,wD,wS,wZD,wZS
mara1378,putanī,putanyā,lek,lyok,bhāchī,bhāchā,putanī,putanyā,lek,lyok,bhāchī,bhāchā
marw1260,bhatiji,bhatija,beti,beto,bhāṇji,bhānja,bhatiji,bhatija,beti,beto,bhāṇji,bhānja
masa1299,mwana,mwana,umwana,mwanawase,mwiwamwana,mwana,mwana,mwana,umwana,mwanawase,mwiwamwana,mwana
mash1270,paľikľero,paľikľerɨ,šičo~nšičo,tɨrɨ~hitɨrɨ,paľikľero,paľikľerɨ,paľikľero,paľikľerɨ,šičo~nšičo,tɨrɨ~hitɨrɨ,paľikľero,paľikľerɨ
mesc1238,cìdèˑdéˑ',cìdèˑdéˑ',cìyát'cè',cíɣè',cìɣóyé,cìɣóyé,cìdèˑdéˑ',cìdèˑdéˑ',cìyát'cè',cíɣè',cìɣóyé,cìɣóyé
midd1317,nift,neve,dohtor,son,nift,neve,nift,neve,dohtor,son,nift,neve
midd1343,nëvin,œ-heim,tohter,sun,base,œ-heim,nëvin,œ-heim,tohter,sun,base,œ-heim
moco1246,le-teese,le-teesek,lʸ-aale,lʸ-aale-k,le-teese,le-teesek,le-teese,le-teesek,lʸ-aale,lʸ-aale-k,le-teese,le-teesek
mode1248,anipsia,anipsios,kori,yos,anipsia,anipsios,anipsia,anipsios,kori,yos,anipsia,anipsios
mokp1239,mwan'amolana,mwan'amunyana,mwan'amolana,mwan'amunyana,mwan'ali,mwan'ali,mwan'amolana,mwan'amunyana,mwan'amolana,mwan'amunyana,mwan'ali,mwan'ali
mong1338,bonankana,bononkana,bona,bona,bononkana,bonankana,bonankana,bononkana,bona,bona,bononkana,bonankana
movi1243,yani-kai,yani-kai,mah-ni,mah-ni,yani-kai,yani-kai,yani-kai,yani-kai,mah-ni,mah-ni,yani-kai,yani-kai
mudb1240,ngalinya,ngalinya,chin3,chin3,tyuka,tyuka,ngalinya,ngalinya,chin3,chin3,tyuka,tyuka
myen1241,oḿwa-oḿwaḿto,oḿwa-onoḿe,nanto,noḿe,oḿwa-oḿwaḿto,oḿwa-onoḿe,oḿwa-oḿwaḿto,oḿwa-onoḿe,nanto,noḿe,oḿwa-oḿwaḿto,oḿwa-onoḿe
nene1249,nʸemʸaŋg~nʸenʸu,mʸaŋg~nʸu,nʸenʸu,nʸu,nʸemʸaŋg~nʸenʸu,mʸaŋg~nʸu,nʸemʸaŋg~nʸenʸu,mʸaŋg~nʸu,nʸenʸu,nʸu,nʸemʸaŋg~nʸenʸu,mʸaŋg~nʸu
nepa1254,bhatiji,bhatijo,chori,sānukāncho,bhānji,bhānij,bhatiji,bhadoho,chori,sānukāncho,choori,chhora
ngam1265,padi,padi,ngathani,ngathanda,padi,parrarri,padi,padi,ngathani,ngathanda,padi,parrarri
ngar1235,ngalawiny,ngalawiny,ngalawiny,ngalawiny,kurturtu,kurturtu,ngalawiny,ngalawiny,ngalawiny,ngalawiny,kurturtu,kurturtu
ngar1287,ngarraya,thuwa,kurntal,manyka,ngatyala,ngatyala,ngarraya,thuwa,kurntal,manyka,ngatyala,ngatyala
ngul1246,mwana,mwana,mwana,mwana,mhwa,mhwa,mwana,mwana,mwana,mwana,mhwa,mhwa
nhan1238,nanyi,kaggajee,yurdu,wurdu,nanyi,kagadyi,nanyi,kaggajee,yurdu,wurdu,nanyi,kagadyi
nina1238,yiha-ye,thãlesi-ye,thee-ye,ulu-ye,yiha-ye,thãlesi-ye,yiha-ye,thãlesi-ye,thee-ye,ulu-ye,yiha-ye,thãlesi-ye
niva1238,-fak-čeʔ,-faklaʔ,-ɔs-e,-aɔs,-fak-čeʔ,-faklaʔ,-fak-čeʔ,-faklaʔ,-ɔs-e,-aɔs,-fak-čeʔ,-faklaʔ
noga1249,йиен,йиен,кыз,йас,йиен,йиен,йиен,йиен,кыз,йас,йиен,йиен
nort1551,hᶹja,hᶹja,bádö,dūa,īnanák'wa,īnanák'wa,imidó',imidó',bádö,dūa,imidó',imidó'
nort2641,brazî,brazê,keç,kûr,xarzî,xarzê,brazî,brazê,keç,kûr,xarzî,xarzê
nort2671,vielyɑnieidɑ,vielyɑbar̃dni,nieidɑ,bar̃dni,vielyɑnieidɑ,vielyɑbar̃dni,vielyɑnieidɑ,vielyɑbar̃dni,nieidɑ,bar̃dni,vielyɑnieidɑ,vielyɑbar̃dni
nort2697,gerdeshu'mu'ngizi,gerdeshu'mu'nogli,giz,ogul,gerdeshu'mu'ngizi,gerdeshu'mu'nogli,gerdeshu'mu'ngizi,gerdeshu'mu'nogli,giz,ogul,gerdeshu'mu'ngizi,gerdeshu'mu'nogli
nort2702,bhatījī,bhatījā,mīār,marrī,sannēmīār,sannēmarrī,bhatījī,bhatījā,mīār,marrī,sannēmīār,sannēmarrī
nort2938,náat,náat,kučáaŋaa,kit,náat,náat,náat,náat,kučáaŋaa,kit,náat,náat
nort2942,sehsa,sebáa,setúé,seyaa,sehsa,sebáa,sehsa,sebáa,setúé,seyaa,sehsa,sebáa
nort2952,kamim,kamim,bom,tem,kamim,kamim,kamim,kamim,bom,tem,kamim,kamim
nort2972,hẽ'rãmãrã,õ'ãõã,kau,o'ar̃a,hẽ'rãmãrã,õ'ãõã,hẽ'rãmãrã,õ'ãõã,kau,o'ar̃a,hẽ'rãmãrã,õ'ãõã
norw1259,niese,nevø,datter,sønn,niese,nevø,niese,nevø,datter,sønn,niese,nevø
nucl1235,ełborałǰik,ełborordi,dustr,ordi,k'roǰałǰik,k'erordi,ełborałǰik,ełborordi,dustr,ordi,k'roǰałǰik,k'erordi
nucl1310,tuma,tu,ami,a,tuma,tu,tuma,tu,ami,a,tuma,tu
nucl1479,lai,lai,lairowot,laimwal,vatuwei,vatuwei,lai,lai,lairowot,laimwal,*,*
nucl1643,mei,oii,musūme,musuko,mei,oii,mei,oii,musūme,musuko,mei,oii
nucl1649,łguł,łguł,łgułgm-hanaʔa,łgułgmʔyu,łguł,łguł,łguł,łguł,łgułgm-hanaʔa,łgułgmʔyu,łguł,łguł
nyak1260,umwipwa,umwipwa,mwanaunkiikulu,umwanaundumyana,umwipwa,umwipwa,umwipwa,umwipwa,mwanaunkiikulu,umwanaundumyana,umwipwa,umwipwa
nyam1271,ngaraya,tyilya,tyilya,tyilya,ngaraya,tyilya,ngaraya,tyilya,tyilya,tyilya,ngaraya,tyilya
nyan1301,kurntal,marruku,kurntal,partany,kurntal,ngarraya,kurntal,marruku,kurntal,partany,kurntal,ngarraya
nyor1246,mwana,mwana,mwana,mwana,omusia,omusia,mwana,mwana,mwana,mwana,omusia,omusia
oduu1239,lă:nkû:nkwɛ̂:,lă:nkû:njɔ̂:ŋ,kû:nkwɛ̂:,kû:njɔ̂:ŋ,lă:nkû:nkwɛ̂:,lă:nkû:njɔ̂:ŋ,lă:nkû:nkwɛ̂:,lă:nkû:njɔ̂:ŋ,kû:nkwɛ̂:,kû:njɔ̂:ŋ,lă:nkû:nkwɛ̂:,lă:nkû:njɔ̂:ŋ
olda1245,brat-ʔaχā,bar-ʔaχā,bartā̃brattā,brā,brat-ʔaχā,bar-ʔaχā,brat-ʔaχā,bar-ʔaχā,bartā̃brattā,brā,brat-ʔaχā,bar-ʔaχā
olde1238,nift,nefa,dohtor,sunu,nift,nefa,nift,nefa,dohtor,sunu,nift,nefa
oldh1241,nift,nefo~nevo,tohter,sun,nift,nefo~nevo,nift,nefo~nevo,tohter,sun,nift,nefo~nevo
oldi1245,necht,macbráthar,ingen,mac,necht,nia,necht,macbráthar,ingen,mac,necht,nia
oldn1244,nipt,nefi,dōttir,sunr,nipt,nefi,nipt,nefi,dōttir,sunr,nipt,nefi
onaa1245,ʔanxin,ʔanenḳˀ,tˀamn,lalʔ,ʔanxin,ʔanenḳˀ,ʔanxin,ʔanenḳˀ,tˀamn,lalʔ,ʔanxin,ʔanenḳˀ
oriy1255,ziari,puttura,zia,puvo,bhanaji,bhanaja,ziari,puttura,zia,puvo,bhanaji,bhanaja
osse1243,æfsymærychyzg,æfsymærylæppu,chyzg,fyrt,khæræfyrt,khæræfyrt,æfsymærychyzg,æfsymærylæppu,chyzg,fyrt,khæræfyrt,khæræfyrt
paez1247,[sobrina],[sobrinu],niisa,n-čiʔk,[sobrina],[sobrinu],[sobrina],[sobrinu],niisa,n-čiʔk,[sobrina],[sobrinu]
pana1305,tokompia,tuittsi,paitu,tua",ata,ata,pahwa,pahwa,paitu,tua",tokkwai,tuittsi
panj1256,pàtiijii,pàtiijaa,beti,pūtar,panèvii,panèvaa,pàtiijii,pàtiijaa,beti,pūtar,panèvii,panèvaa
para1311,peheŋʷeraǰɨ,peheŋʷeraʔɨ,meᵐbɨ-kuɲa,meᵐbɨ-kuiᵐbaʔe,peheŋʷeraǰɨ,peheŋʷeraʔɨ,peheŋʷeraǰɨ,peheŋʷeraʔɨ,meᵐbɨ-kuɲa,meᵐbɨ-kuiᵐbaʔe,peheŋʷeraǰɨ,peheŋʷeraʔɨ
pash1269,wrèra,wrɑrә,lur,zwe,khurdzha,khwaryéī,wrèra,wrɑrә,lur,zwe,khurdzha,khwaryéī
penr1237,taukohera,toate,tamaahine,tama,taukohera,toate,taukohera,toate,tamaahine,tama,taukohera,toate
phai1238,khwanjaʔʔawmɛ:,khwanjaʔʔawkhlɔŋ,khwanʔawmɛ:,khwanʔawkhlɔŋ,khwanjaʔʔawmɛ:,khwanjaʔʔawkhlɔŋ,khwanjaʔʔawmɛ:,khwanjaʔʔawkhlɔŋ,khwanʔawmɛ:,khwanʔawkhlɔŋ,khwanjaʔʔawmɛ:,khwanjaʔʔawkhlɔŋ
phen1239,muehú,muehú,muna,muna,muehú,muehú,muehú,muehú,muna,muna,muehú,muehú
pila1245,l-aʔyole,l-aʔyole-k,le-kʔo-ḳte,le-'kʔo-ʁot,l-aʔyole,l-aʔyole-k,l-aʔyole,l-aʔyole-k,le-kʔo-ḳte,le-'kʔo-ʁot,l-aʔyole,l-aʔyole-k
pitt1247,ngathapiyaka,ngathapiyaka,ngathapiyaka,ngathapiyaka,ngathari,ngathari,ngathapiyaka,ngathapiyaka,ngathapiyaka,ngathapiyaka,ngathari,ngathari
poli1260,bratanica,bratanek,córka,syn,siostrzenica,siostrzeniec,bratanica,bratanek,córka,syn,siostrzenica,siostrzeniec
port1283,sobrinha,sobrinho,filha,filho,sobrinha,sobrinho,sobrinha,sobrinho,filha,filho,sobrinha,sobrinho
puel1244,gala-c̷ɨm,gala,c̷ɨgan,agač,gala-c̷ɨm,gala,gala-c̷ɨm,gala,c̷ɨgan,agač,gala-c̷ɨm,gala
puin1248,-pe-do-wãi,-pe-wo-wãi,-dou,-wa,-pe-do-wãi,-pe-wo-wãi,-pe-do-wãi,-pe-wo-wãi,-dou,-wa,-pe-do-wãi,-pe-wo-wãi
pume1238,hauĩ-boĩ,hauĩ-mãĩ,habi,haɔ,hauĩ-boĩ,hauĩ-mãĩ,hauĩ-boĩ,hauĩ-mãĩ,habi,haɔ,hauĩ-boĩ,hauĩ-mãĩ
rapa1244,vovo,poki-tamaaroa,poki-tamahahine,poki-tamaaroa,vovo,poki-tamaaroa,vovo,poki-tamaaroa,poki-tamahahine,poki-tamaaroa,vovo,poki-tamaaroa
roma1327,nepoatǎ,nepot,fiicǎ,fiu,nepoatǎ,nepot,nepoatǎ,nepot,fiicǎ,fiu,nepoatǎ,nepot
rotu1241,leehoni,leefa,le'ehoni,le'efa,leehoni,leefa,leehoni,leefa,le'ehoni,le'efa,leehoni,leefa
rund1242,umukübwåcu,umuhüngwåcu,mukôbwa,muhüngu,mwishwanje,mwishwanje,umuséngezana-wanje,umuséngezana-wanje,mukôbwa,muhüngu,umuséngezana-wanje,umuséngezana-wanje
russ1263,plemjánnitsa,plemjánnik,doch',syn,plemjánnitsa,plemjánnik,plemjánnitsa,plemjánnik,doch',syn,plemjánnitsa,plemjánnik
sana1298,eŋketkaʔayˀ,eŋketkaʔayˀ,eŋketka,eŋketka,eŋketkaʔayˀ,eŋketkaʔayˀ,eŋketkaʔayˀ,eŋketkaʔayˀ,eŋketka,eŋketka,eŋketkaʔayˀ,eŋketkaʔayˀ
sang1330,mwali,mswami,mwali,mswami,mwipwa,mwipwa,mwipwa,mwipwa,mwali,mswami,mwali,mswami
sang1331,mwipwa,mwipwa,mwana-mwana-mukashi,mwana-mwanamulume,mwipwa,mwipwa,mwipwa,mwipwa,mwana-mwana-mukashi,mwana-mwanamulume,mwipwa,mwipwa
sans1272,mwana-ankaji,mwana-ankaji,mwana,mwana,mwana-ankaji,mwana-ankaji,mwana-ankaji,mwana-ankaji,mwana,mwana,mwana-ankaji,mwana-ankaji
sate1242,brúursbäiden,brúursbäiden,dochter,suun,oomkweeder,oomkweeder,brúursbäiden,brúursbäiden,dochter,suun,oomkweeder,oomkweeder
selk1253,kətsan,kətsan,nælʸa,iya~iyatɨ,kətsan,kətsan,kətsan,kətsan,nælʸa,iya~iyatɨ,kətsan,kətsan
serb1264,bratanica,bratanac,ćerka,sin,sestričina,sestric,bratanica,bratanac,ćerka,sin,sestričina,sestric
shas1239,arodsa,arodsa,aiyaki,akui,apaki,apaki,ambaki,ambaki,aiyaki,akui,anii,anidi
shii1238,mwihwa,mwihwa,mwåli,mugåla,mwihwa,mwihwa,mwali,mwihwa,mwåli,mugåla,mwali,mwihwa
shin1265,xɨdɨl,xɨdɨl,rɨš,dux,xɨdɨl,xɨdɨl,xɨdɨl,xɨdɨl,rɨš,dux,xɨdɨl,xɨdɨl
ship1254,chíobaque,chíobaque,báque,báque,chíobaque,chíobaque,chíobaque,chíobaque,báque,báque,chíobaque,chíobaque
sind1272,bhāīṭī,bhāītyo,dhīa,puṭu,bhānijī,bhāṇitu,bhāīṭī,bhāītyo,dhīa,puṭu,bhānijī,bhāṇitu
sinh1246,duwǝ,puta,duwǝ,putaa,duwǝ,puta,leli,bæna,duwǝ,putaa,leli,bæna
sion1247,wau,wau,mami,mami,wau,wau,wau,wau,mami,mami,wau,wau
slov1268,nečákinja,nečák,hči,sîn,nečákinja,nečák,nečákinja,nečák,hči,sîn,nečákinja,nečák
slov1269,neter,synovec,dcéra,syn,neter,synovec,neter,synovec,dcéra,syn,neter,synovec
soga1242,muwalawange,mutabani,mughala,mutabani,mwiwa,mwiwa,muwalawange,mutabani,mughala,mutabani,mwiwa,mwiwa
sout1528,bratanica,bratanac,ćerka,sin,nećakinja,nećak,bratanica,bratanac,ćerka,sin,nećakinja,nećak
sout2866,moí,iámutu,moí,tamaóa,moí,iámutu,moí,iámutu,moí,tamaóa,moí,iámutu
sout2959,sezháa,saazeh,setúé,sezhaa,sezháa,saazeh,sezháa,saazeh,setúé,sezhaa,sezháa,saazeh
stan1288,sobrina,sobrino,hija,hijo,sobrina,sobrino,sobrina,sobrino,hija,hijo,sobrina,sobrino
stan1289,neboda,nebot,filla,fill,neboda,nebot,neboda,nebot,filla,fill,neboda,nebot
stan1290,nièce,neveu,fille,fils,nièce,neveu,nièce,neveu,fille,fils,nièce,neveu
stan1293,niece,nephew,daughter,son,niece,nephew,niece,nephew,daughter,son,niece,nephew
stan1295,nichte,neffe,tochter,sohn,nichte,neffe,nichte,neffe,tochter,sohn,nichte,neffe
swed1254,brors-dotter,bror-son,dotter,son,syster-dotter,syster-son,brors-dotter,bror-son,dotter,son,syster-dotter,syster-son
tahi1242,tamāhine,tamaiti,tamāhine,tamaiti,tamāhine,tamaiti,tamāhine,tamaiti,tamāhine,tamaiti,tamāhine,tamaiti
tami1289,makal,makan,peṇ,makan,maru-makal,marumakan,maru-makal,marumakan,peṇ,makan,makal,makan
tana1285,zanakayviavy,zanakaylahy,zanakayviavy,zanakaylahy,zanakayviavy,zanakaylahy,zanakayviavy,zanakaylahy,zanakayviavy,zanakaylahy,zanakayviavy,zanakaylahy
tapi1254,chané-ranchyra,chané-ranyra,che-ranchyra,che-ranyra,che-kuchãmemyra,che-rikawiana,che-penga,che-penga,che-memyra,che-memyra,chané-memyra,chané-memyra
tehu1242,mex-on,mex,kalm-n,kalm,mex-on,mex,mex-on,mex,kalm-n,kalm,mex-on,mex
telu1262,meenakoodalu,koḍuku,ammaayi,aatmajudu,meenakoodalu,meenalludu,meenakoodalu,mēnalluḍu,ammaayi,aatmajudu,meenakoodalu,meenalludu
tenh1241,-ra'yra-,-ra'yra-,-ra'yra-,-ra'yra-,ikunhambyr-,ikunhambyr-,-ai-,-ai-,-ra'yra-,-ra'yra-,ikunhambyr-,ikunhambyr-
term1237,anafeök,anamanek,anafeök,anamanek,dadik,dadik,anafeök,anamanek,anafeök,anamanek,dadik,dadik
tiko1237,tama,tama,tama,tama,iramatu,iramatu,tama,tama,tama,tama,tama,tama
tivv1240,wan,wan,wan,wan,wan,wan,wan,wan,wan,wan,wan,wan
toba1269,l-asoši,l-asošik,l-[i]ale,l-[i]ale-k,l-asoši,l-asošik,l-asoši,l-asošik,l-[i]ale,l-[i]ale-k,l-asoši,l-asošik
tong1321,mwana,mwana,mwana,mwana,mujwa,mujwa,mwana,mwana,mwana,mwana,mwana,mwana
tong1325,‘ofefine,foha,'ofefine,foha,'ilamutu,'ilamutu,fakafotu,fakafotu,tama,tama,tama,tama
tosk1239,mbesə,nip,biyə,bir,mbesə,nip,mbesə,nip,biyə,bir,mbesə,nip
trin1274,-čehi,-čera,-čiča,-čiča,-čehi,-čera,-čehi,-čera,-čiča,-čiča,-čehi,-čera
trum1247,uauetʔadi,uauepatʔte,-atadi,-faxlo,uauetʔadi,uauepatʔte,uauetʔadi,uauepatʔte,-atadi,-faxlo,uauetʔadi,uauepatʔte
tson1249,ngwana,ngwana,ngwana,ngwana,ntukulu,ntukulu,ngwana,ngwana,ngwana,ngwana,ntukulu,ntukulu
tswa1253,ngwana,ngwana,morwadi,morwa,motlogolo,motlogolo,ngwana-kgaitsadi,ngwana-kgaitsadi,morwadi,morwa,ngwana,ngwana
tuam1242,potiki,potiki,tamahine,tamaroa,potiki,potiki,potiki,potiki,tamahine,tamaroa,potiki,potiki
tupi1273,penga,penga,membyra,membyra,jetipera,iyra,penga,penga,membyra,membyra,jetipera,iyra
tupi1274,taiyra,tayra,taiyra,tayra,ietipera,riýr,peng,penga,membýra,membýra,membycunhã,membyra-taycê
tuva1244,tama,tama,tamafafine,tamatangata,tama,tama,tama,tama,tamafafine,tamatangata,tama,tama
tuyu1244,sõwɨ̃-bã'kõ,sõwɨ̃-bã'kɨ̃,bã'kõ,bã'kɨ̃,sõwɨ̃-bã'kõ,sõwɨ̃-bã'kɨ̃,sõwɨ̃-bã'kõ,sõwɨ̃-bã'kɨ̃,bã'kõ,bã'kɨ̃,sõwɨ̃-bã'kõ,sõwɨ̃-bã'kɨ̃
tzel1254,nich'ajun,nich'ajun,antsil-nich'an,wich'an,nich'ajun,nich'ajun,aljun,aljun,antsil-al,xitch'uc-al,aljun,aljun
udmu1245,apaylennɩlɩz,apaylenpiyez,nɩl,pi,apaylennɩlɩz,apaylenpiyez,apaylennɩlɩz,apaylenpiyez,nɩl,pi,apaylennɩlɩz,apaylenpiyez
ukra1253,plemínnycja,nepot,dočká,syn,plemínnycja,nepot,plemínnycja,nepot,dočká,syn,plemínnycja,nepot
urdu1245,bhatījī,bhatīja,bēṭī,bēṭa,bhānji,bhānja,bhatījī,bhatīja,bēṭī,bēṭa,bhānji,bhānja
vlax1238,[nepoata],[nepoto],šʸei,šʸav,[nepoata],[nepoto],[nepoata],[nepoto],šʸei,šʸav,[nepoata],[nepoto]
waga1260,kangku,kangku,nhini,nhini,ngetha,ngetha,kangku,kangku,nhini,nhini,ngetha,ngetha
wall1255,neveuss,neveu,krapôtt,fi,neveuss,neveu,neveuss,neveu,krapôtt,fi,neveuss,neveu
wang1290,thitnara,thitnara,arluwa,arluwa,arluwa,arluwa,thitnara,thitnara,arluwa,arluwa,arluwa,arluwa
waor1240,biyõgã,biyõdæ,wẽ-gãõkiyæ̃-gã,wẽ-gãõgĩyæ̃-gã,biyõgã,biyõdæ,biyõgã,biyõdæ,wẽ-gãõkiyæ̃-gã,wẽ-gãõgĩyæ̃-gã,biyõgã,biyõdæ
wapi1253,-ˀdanikʰaʔaẓuu,čʰaunai,-ˀdani-ˀba,-ˀdani,-ˀdanikʰaʔaẓuu,čʰaunai,-ˀdanikʰaʔaẓuu,čʰaunai,-ˀdani-ˀba,-ˀdani,-ˀdanikʰaʔaẓuu,čʰaunai
warl1255,ngalapi,ngalapi,chin3,chin3,kulkukuna,kulkukuna,ngalapi,ngalapi,chin3,chin3,kulkukuna,kulkukuna
waru1265,kartikityi,kartikityi,abdomen1,abdomen1,kurlukurlu,kurlukurlu,kartikityi,kartikityi,abdomen1,abdomen1,kurlukurlu,kurlukurlu
waur1244,-tami-c̷ũ'wĩ,-ta'mi,ic̷u-pa-lu,-tãi,-tami-c̷ũ'wĩ,-ta'mi,-tami-c̷ũ'wĩ,-ta'mi,ic̷u-pa-lu,-tãi,-tami-c̷ũ'wĩ,-ta'mi
waya1270,-laʔɨ-tatɨ,-l-ayɨwɛ̃,-l-ayɨ,laʔɨ,-laʔɨ-tatɨ,-l-ayɨwɛ̃,-laʔɨ-tatɨ,-l-ayɨwɛ̃,-l-ayɨ,laʔɨ,-laʔɨ-tatɨ,-l-ayɨwɛ̃
wayu1243,ta-čon,ta-čon,ta-čon,ta-čon,ta-čon,ta-čon,ta-čon,ta-čon,ta-čon,ta-čon,ta-čon,ta-čon
wels1247,nith,nai,merch,mab,nith,nai,nith,nai,merch,mab,nith,nai
west1508,iloba,iloba,alaba,semea,iloba,iloba,iloba,iloba,alaba,semea,iloba,iloba
west2369,doxtær-bærɑdær,pesær-bærɑdær,doxtær,pesær,doxtær-bærɑdær,pesær-bærɑdær,doxtær-bærɑdær,pesær-bærɑdær,doxtær,pesær,doxtær-bærɑdær,pesær-bærɑdær
west2386,bhatījī,bhatījā,guḍī,bēṭā,bhatījī,bhatījā,bhatījī,bhatījā,guḍī,bēṭā,bhatījī,bhatījā
west2615,cìbéjé,cìbéjé,cìtsì,cíɣè',cìdà'á,cìdà'á,cìbéjé,cìbéjé,cìtsì,cíɣè',cìdà'á,cìdà'á
wich1264,-waʔlaʔ-'ni,-waʔ'laʔ,-ɬo's-e,-ɬos,-waʔlaʔ-'ni,-waʔ'laʔ,-waʔlaʔ-'ni,-waʔ'laʔ,-ɬo's-e,-ɬos,-waʔlaʔ-'ni,-waʔ'laʔ
wiyo1248,yisalibas,yigau,yidokar,yidar,yisalibas,yigau,yisalibas,yigau,yidokar,yidar,yisalibas,yigau
yala1262,kunkuyu,kunkuyu,kunkuyu,kunkuyu,ngatharti,ngatharti,kunkuyu,kunkuyu,kunkuyu,kunkuyu,ngatharti,ngatharti
yama1264,yamana-kipa,yamana-maku,ma-kipa,maku,yamana-kipa,yamana-maku,yamana-kipa,yamana-maku,ma-kipa,maku,yamana-kipa,yamana-maku
yand1253,ngathalki,ngathalki,ngathalki,ngathalki,kayakaya,kayakaya,ngathalki,ngathalki,ngathalki,ngathalki,kayakaya,kayakaya
yany1243,kathakatha,kathakatha,kalhukulha,kalhukulha,artiyarti,artiyarti,kathakatha,kathakatha,kalhukulha,kalhukulha,artiyarti,artiyarti
yavi1244,tanihinaľi,tanihinaľi,tanimi,tain-tani,tanihinaľi,tanihinaľi,tanihinaľi,tanihinaľi,tanimi,tain-tani,tanihinaľi,tanihinaľi
yind1247,kurntat,papuyi,kurntat,manyka,kurntat,kurntakarra,kurntat,papuyi,kurntat,manyka,kurntat,kurntakarra
yomb1244,mwana,mwana,mwana,mwana,banabakhazi,banabakhazi,mwana,mwana,mwana,mwana,banabakhazi,banabakhazi
yugu1249,muyumkan,muyum,mutyumkirrkan,mutyumkirr,muyumkan,muyum,muyumkan,muyum,mutyumkirrkan,mutyumkirr,muyumkan,muyum
zigu1242,mwihwa,mwihwa,mwana,mwana,mwihwa,mwihwa,mwihwa,mwihwa,mwana,mwana,mwihwa,mwihwa
zulu1248,mtana,mtana,mtana,mtana,mtana,mtana,mtana,mtana,mtana,mtana,mtana,mtana
