fFF,fFM,fMF,fMM,mFF,mFM,mMF,mMM,Glottocode
kupunakāne,kupunawahine,kupunakāne,kupunawahine,kupunakāne,kupunawahine,kupunakāne,kupunawahine,hawa1245
tá:t'énkûlu,má:w'énkûlu,tá:t'énkûlu,má:w'énkûlu,tá:t'énkûlu,má:w'énkûlu,tá:t'énkûlu,má:w'énkûlu,haya1250
kuuku,papa,kuuku,papa,kuuku,papa,kuuku,papa,hehe1240
tateomunene,mamaomunene,tateomunene,mamaomunene,tateomunene,mamaomunene,tateomunene,mamaomunene,here1253
mä-toosh-a-rǔʼ-tä-kä,kä-rǔʼ-hǎ,mä-toosh-a-rǔʼ-tä-kä,kä-rǔʼ-hǎ,mä-toosh-a-rǔʼ-tä-kä,kä-rǔʼ-hǎ,mä-toosh-a-rǔʼ-tä-kä,kä-rǔʼ-hǎ,hida1246
tata-hweyi,nana-hweyi,tata-hweyi,nana-hweyi,tata-hweyi,nana-hweyi,tata-hweyi,nana-hweyi,high1278
lolo,lola,lolo,lola,lolo,lola,lolo,lola,hili1240
merádádá,meridádi,merádádá,meridádi,merádádá,meridádi,merádádá,meridádi,hind1269
huhha-,hanna-,huhha-,hanna-,huhha-,hanna-,huhha-,hanna-,hitt1242
med͜zhayr,med͜zmayr,med͜zhayr,med͜zmayr,med͜zhayr,med͜zmayr,med͜zhayr,med͜zmayr,homs1234
kwa,so'o,kwa,so'o,kwa,so'o,kwa,so'o,hopi1249
wocí,ka'ká,papá,su'sú,wocí,ka'ká,papá,su'sú,huar1255
nagyapa,nagyanya,nagyapa,nagyanya,nagyapa,nagyanya,nagyapa,nagyanya,hung1274
pi,pi,pi,pi,pi,pi,pi,pi,hunz1248
maatcwuñ,tcin,chuwe,tcwo,maatcwuñ,tcin,chuwe,tcwo,hupa1239
apo,apo,apo,apo,apo,apo,apo,apo,ibal1244
aki,ini,aki,ini,aki,ini,aki,ini,iban1264
kakay,kako,kakay,kako,kakay,kako,kakay,kako,iban1267
afi,amma,afi,amma,afi,amma,afi,amma,icel1247
inni',inni',inni',inni',inni',inni',inni',inni',idaa1241
kak,kak,kak,kak,kak,kak,kak,kak,idii1243
apo,apo,apo,apo,apo,apo,apo,apo,ifug1247
-'ačuka,c̷ec̷e,-'ačuka,c̷ec̷e,-'ačuka,c̷ec̷e,-'ačuka,c̷ec̷e,igna1246
apong,apong,apong,apong,apong,apong,apong,apong,ilok1237
nátaturi,nátato,nátaturi,nátato,nátaturi,nátato,nátaturi,nátato,inan1242
nénék,nénék,nénék,nénék,nénék,nénék,nénék,nénék,indo1316
embolilla,embodinda,embolilla,embodinda,embolilla,embodinda,embolilla,embodinda,indo1317
äijä,ämmä,äijä,baba,äijä,ämmä,äijä,baba,ingr1248
hee-tooʼ-ga,hee-kooʼ-n'-ye,hee-tooʼ-ga,hee-kooʼ-n'-ye,hee-tooʼ-ga,hee-kooʼ-n'-ye,hee-tooʼ-ga,hee-kooʼ-n'-ye,iowa1245
palakí,akbayi,palakí,akbayi,palakí,akbayi,palakí,akbayi,iray1237
seanathair,seanmhāthair,seanathair,seanmhāthair,seanathair,seanmhāthair,seanathair,seanmhāthair,iris1253
akay,ukoq,akay,ukoq,akay,ukoq,akay,ukoq,isna1241
nonno,nonna,nonno,nonna,nonno,nonna,nonno,nonna,ital1282
ah-meyuweʔne,ahme-yuweʔneʔka,ah-meyuweʔne,ahme-yuweʔneʔka,ah-meyuweʔne,ahme-yuweʔneʔka,ah-meyuweʔne,ahme-yuweʔneʔka,iton1250
xat̄ay,xabay,xat̄ay,xabay,xat̄ay,xabay,xat̄ay,xabay,itsa1239
apo,apo,apo,apo,apo,apo,apo,apo,ivat1242
-tʔek,-eyi,-tʔek,-eyi,-tʔek,-eyi,-tʔek,-eyi,iyoj1235
gran-fāda,gran-māda,gran-fāda,gran-māda,gran-fāda,gran-māda,gran-fāda,gran-māda,jama1262
o-je'-sang,o-bä'-sän,o-je'-sang,o-bä'-sän,o-je'-sang,o-bä'-sän,o-je'-sang,o-bä'-sän,japa1256
simbahkakung,simbahputri,simbahkakung,simbahputri,simbahkakung,simbahputri,simbahkakung,simbahputri,java1254
sìtsóyéˑ',cìtcóˑ',sìtsóyéˑ',cìtcóˑ',sìtsóyéˑ',cìtcóˑ',sìtsóyéˑ',cìtcóˑ',jica1244
!kun!a,tun,!kun!a,tun,!kun!a,tun,!kun!a,tun,juho1239
aamã,a-ái,aamã,a-ái,aamã,a-ái,aamã,a-ái,juru1256
mbue,mbue,mbue,mbue,mbue,mbue,mbue,mbue,kaba1285
peran,pati,peran,pati,peran,pati,peran,pati,kada1242
hene,napa,hene,napa,hene,napa,hene,napa,kada1286
kuku,mama,kuku,mama,kuku,mama,kuku,mama,kagu1239
che-ramõi,cheradjý,che-ramõi,cheradjý,che-ramõi,cheradjý,che-ramõi,cheradjý,kaiw1246
atei,kaiad,atei,kaiad,atei,kaiad,atei,kaiad,kala1377
basd,aps,basd,aps,basd,aps,basd,aps,kala1397
a-ta-ga,a-na-ga,a-ta-ga,a-na-ga,a-ta-ga,a-na-ga,a-ta-ga,a-na-ga,kala1399
mutyu,papi,tyatyi,mutyu,mutyu,papi,tyatyi,mutyu,kalk1246
ieramôi,ierarúí,ieramôi,ierarúí,ieramôi,ierarúí,ieramôi,ierarúí,kama1373
umãã,usua,umãã,usua,umãã,usua,umãã,usua,kamb1297
boku,àpu,boku,àpu,boku,àpu,boku,àpu,kamb1299
apo,apo,apo,apo,apo,apo,apo,apo,kank1243
be-cheʼ-cho,e-koʼ,be-cheʼ-cho,e-koʼ,be-cheʼ-cho,e-koʼ,be-cheʼ-cho,e-koʼ,kans1243
nkambo,nkambo,nkambo,nkambo,nkambo,nkambo,nkambo,nkambo,kaon1241
tamana,tinanamatua,tamana,tinanamatua,tamana,tinanamatua,tamana,tinanamatua,kapi1249
kipunga,kipunga,kipunga,kipunga,kipunga,kipunga,kipunga,kipunga,kapi1249a
kalityi,kaparli,tyampartu,kami,kalityi,kaparli,tyampartu,kami,kara1476
tata,nina,tata,nina,tata,nina,tata,nina,kara1499
yehpü,yehpee,yehpü,yehpee,yehpü,yehpee,yehpü,yehpee,kare1337
mayili,kaparli,maputyi,kantharri,mayili,kaparli,maputyi,kantharri,kari1304
kú̄t,kī́t,kú̄t,kī́t,kú̄t,kī́t,kú̄t,kī́t,karo1304
nyamu,nyami,nyamu,nyami,nyamu,nyami,nyamu,nyami,kart1247
budbab,nani,budbab,nani,budbab,nani,budbab,nani,kash1277
ba:s'enʔ,ma:s'enʔ,ca:s'enʔ,qa:s'enʔ,ba:s'enʔ,ma:s'enʔ,ca:s'enʔ,qa:s'enʔ,kash1280
mbrum,nambwa,mbrum,nambwa,mbrum,nambwa,mbrum,nambwa,katb1237
bbum,bbuah,bbum,bbuah,bbum,bbuah,bbum,bbuah,katb1237a
bumbu,nambwa,bumbu,nambwa,bumbu,nambwa,bumbu,nambwa,katb1237b
matla,ngapapi,thamamu,kamami,matla,ngapapi,thamamu,kamami,kaur1267
kunu,kagu,togo'o,huci,kunu,kagu,togo'o,huci,kawa1283
kaŋku,papicu,campaṱu,ŋaricu,kaŋku,papicu,campaṱu,ŋaricu,kaya1318
ramɨ͂y,yarɨ͂y,ramɨ͂y,yarɨ͂y,ramɨ͂y,yarɨ͂y,ramɨ͂y,yarɨ͂y,kaya1329
gúúkú,ninéénkúlu,gúúkú,ninéénkúlu,gúúkú,ninéénkúlu,gúúkú,ninéénkúlu,kere1283
qīˑp,qima,qibbat,qima,qīˑp,qima,qibbat,qima,kett1243
nem-ma-sooʼ-ma-thǎ,no-ko-ma-some-thǎʼ,nem-ma-sooʼ-ma-thǎ,no-ko-ma-some-thǎʼ,nem-ma-sooʼ-ma-thǎ,no-ko-ma-some-thǎʼ,nem-ma-sooʼ-ma-thǎ,no-ko-ma-some-thǎʼ,kick1244
güüka,tchutchu,güüka,tchutchu,güüka,tchutchu,güüka,tchutchu,kiku1240
tabu-,tabu-,tabu-,tabu-,tabu-,tabu-,tabu-,tabu-,kili1267
sadei'laay,sadai'turay,sadei'laay,sadai'turay,sadei'laay,sadai'turay,sadei'laay,sadai'turay,kipu1237
nogérebúro,áberebúro,nogérebúro,áberebúro,nogérebúro,áberebúro,nogérebúro,áberebúro,kiwa1251
doqom,doqol,doqom,doqol,doqom,doqol,doqom,doqol,klon1234
ta:tën,mutta:yi,ta:tën,mutta:yi,ta:tën,mutta:yi,ta:tën,mutta:yi,koda1255
nene,nene,nene,nene,nene,nene,nene,nene,kode1237
amboenakabani,amboeminé,amboenakabani,amboeminé,amboenakabani,amboeminé,amboenakabani,amboeminé,kodi1247
asec,ala,asec,ala,asec,ala,asec,ala,komb1273
bòbæ̀,nàbæ̀,bòbò,nàbò,bòbæ̀,nàbæ̀,bòbò,nàbò,komc1235
aki,aki,aki,aki,aki,aki,aki,aki,komn1238
tate,tate,tate,tate,tate,tate,tate,tate,komo1260
pue,pue,pue,pue,pue,pue,pue,pue,kona1243
ua,ua,ua,ua,ua,ua,ua,ua,koro1311
päpä-tummun-päpä-tummuk,neně-keyěn-neně-keyǔk,päpä-tummun-päpä-tummuk,neně-keyěn-neně-keyǔk,päpä-tummun-päpä-tummuk,neně-keyěn-neně-keyǔk,päpä-tummun-päpä-tummuk,neně-keyěn-neně-keyǔk,kosr1238
dado,bāpi,akko,kakko,dado,bāpi,akko,kakko,koya1251
yani',yani',yani',yani',yani',yani',yani',yani',kris1246
tubugu,tubugu,tubugu,tubugu,tubugu,tubugu,tubugu,tubugu,kuan1248
akenju,prenda,akenju,prenda,akenju,prenda,akenju,prenda,kuii1252
kirlaki,kaparli,nyaanyi,kaparli,kirlaki,kaparli,nyaanyi,kaparli,kuka1246
kami,babi,ngaji,kami,kami,babi,ngaji,kami,kuku1273
apua,apua,apua,apua,apua,apua,apua,apua,kuli1254
bubu,āmā,bubu,āmā,bubu,āmā,bubu,āmā,kuma1273
kaku,kami,ngatyi,paapany,kaku,kami,ngatyi,paapany,kumb1268
уллуата,къартана,уллуата,къартана,уллуата,къартана,уллуата,къартана,kumy1244
abmiŋar,adiŋar,adiŋar,abmiŋar,abmiŋar,adiŋar,adiŋar,abmiŋar,kunj1248
aia,aia,aia,aia,aia,aia,aia,aia,kuot1243
ajjos,ajji,ajjos,ajji,ajjos,ajji,ajjos,ajji,kuru1302
ka-pä-pa,ka-pä-pa,ka-pä-pa,ka-pä-pa,ka-pä-pa,ka-pä-pa,ka-pä-pa,ka-pä-pa,kute1249
puula,pa'i,ngachichu,miimi,puula,pa'i,ngachimu,miimi,kuuk1238
soi,bai,soi,bai,soi,bai,soi,bai,kuvi1243
ko'o,ko'o,ko'o,ko'o,ko'o,ko'o,ko'o,ko'o,kwai1243
kaha,kaha,kaha,kaha,kaha,kaha,kaha,kaha,kwam1252
mpbambo,mpbambo,mpbambo,mpbambo,mpbambo,mpbambo,mpbambo,mpbambo,kwas1243
wasaho,wao,wasaho,wao,wasaho,wao,wasaho,wao,kwer1261
yey,yey,atokw,atokw,yey,yey,atokw,atokw,kwom1262
kawua,apu,kawua,apu,kawua,apu,kawua,apu,kyak1244
ḍaḍa,ḍaḍi,ḍaḍa,ḍaḍi,ḍaḍa,ḍaḍi,ḍaḍa,ḍaḍi,lahn1241
peepe,peepe,peepe,peepe,peepe,peepe,peepe,peepe,laiw1239
tohˑ-käʼ-she-la,o-cheʼ,tohˑ-käʼ-she-la,o-cheʼ,tohˑ-käʼ-she-la,o-cheʼ,tohˑ-käʼ-she-la,o-cheʼ,lako1247
ußa,ußa,ußa,ußa,ußa,ußa,ußa,ußa,lalo1239
kapa,kapa,kapa,kapa,kapa,kapa,kapa,kapa,lamb1271
wenang,kuba,wenang,kuba,wenang,kuba,wenang,kuba,lamm1241
ue,ue,ue,ue,ue,ue,ue,ue,land1259
babʊ,bibi,babʊ,bibi,babʊ,bibi,babʊ,bibi,lang1320
kangkar,pape,jembe,nyerre,kuu,n!2a,jii,kungaa,lard1243
bumbu,bumbutevet,bumbu,bumbutevet,bumbu,bumbutevet,bumbu,bumbutevet,lare1249
avus,avia,avus,avia,avus,avia,avus,avia,lati1261
avus,anus,avus,anus,avus,anus,avus,anus,lati1261a
vectētin̩š,vecmāmin̩a,vectēvs,vecmāmin̩a,vectētin̩š,vecmāmin̩a,vectēvs,vecmāmin̩a,latv1249
tuka,tumbu,tuka,tumbu,tuka,tumbu,tuka,tumbu,laua1243
kakai,sibengkel,kakai,sibengkel,kakai,sibengkel,kakai,sibengkel,lauj1238
lok-soteʼ-hǎ,ak-soteʼ-hǎ,lok-soteʼ-hǎ,ak-soteʼ-hǎ,lok-soteʼ-hǎ,ak-soteʼ-hǎ,lok-soteʼ-hǎ,ak-soteʼ-hǎ,laur1250
kō,kō,kō,kō,kō,kō,kō,kō,lauu1247
paapua,atu,paapua,ati,paapua,atu,paapua,ati,lele1267
rɨp-,rɨp-,rɨp-,rɨp-,rɨp-,rɨp-,rɨp-,rɨp-,lena1238
-yata,-yama,-yata,-yama,-yata,-yama,-yata,-yama,leng1262
geta'abungk,kambwangk,geta'abungk,kambwangk,geta'abungk,kambwangk,geta'abungk,kambwangk,lete1241
garli,mangi,n-iminy,ngil-a,garli,mangi,n-iminy,ngil-a,limi1242
nkoko-mobali,nkoko-mwasi,nkoko-mobali,nkoko-mwasi,nkoko-mobali,nkoko-mwasi,nkoko-mobali,nkoko-mwasi,ling1263
bbubbu,nibbua,bbubbu,nibbua,bbubbu,nibbua,bbubbu,nibbua,ling1265
cìtsaí,cìtcó,cìtsaí,cìtcó,cìtsaí,cìtcó,cìtsaí,cìtcó,lipa1241
apa,ajɛ,apa,ajɛ,apa,ajɛ,apa,ajɛ,lisu1250a
apa,aʐa,apa,aʐa,apa,aʐa,apa,aʐa,lisu1250b
apa,aja,apa,aja,apa,aja,apa,aja,lisu1250c
apo,ane,apo,ane,apo,ane,apo,ane,lisu1250d
senẽlis,bobutė,mótinostévas,bobutė,senẽlis,bobutė,mótinostévas,bobutė,lith1251
bumbu,bumbutevet,bumbu,bumbutevet,bumbu,bumbutevet,bumbu,bumbutevet,litz1237
ēté,èdjé-ngèdjé,ēté,èdjé-ngèdjé,ēté,èdjé-ngèdjé,ēté,èdjé-ngèdjé,lolo1264
čapoh,čačoh,čapoh,čačoh,čapoh,čačoh,čapoh,čačoh,loni1238
tutu,tutu,tutu,tutu,tutu,tutu,tutu,tutu,lonw1238
tukwuk,tukwuk,tukwuk,tukwuk,tukwuk,tukwuk,tukwuk,tukwuk,loto1240
kuku,kuku,kuku,kuku,kuku,kuku,kuku,kuku,lozi1239
kaku,kaku,kaku,kaku,kaku,kaku,kaku,kaku,luba1249
kaka,kaka,kaka,kaka,kaka,kaka,kaka,kaka,luba1250
apunleyaki,apunbebyai,apunleyaki,apunbebyai,apunleyaki,apunbebyai,apunleyaki,apunbebyai,lubu1243
kaka,wao,kaka,wao,kaka,wao,kaka,wao,lugu1238
kwá'a,ká'néshmal,kwá',túutu,kwá'a,ká'néshmal,kwá',túutu,luis1253
nkaka,nkaka,nkaka,nkaka,nkaka,nkaka,nkaka,nkaka,lund1266
nkaka,nkaka,nkaka,nkaka,nkaka,nkaka,nkaka,nkaka,luva1239
grousspapp,groussmamm,grousspapp,groussmamm,grousspapp,groussmamm,grousspapp,groussmamm,luxe1241
kakah,kakah,kakah,kakah,kakah,kakah,kakah,kakah,maan1238
moemoetamoni,moemoetampini,moemoetamoni,moemoetampini,moemoetamoni,moemoetampini,moemoetamoni,moemoetampini,maba1278
dedo,baba,dedo,baba,dedo,baba,dedo,baba,mace1250
tambugu,tambugu,tambugu,tambugu,tambugu,tambugu,tambugu,tambugu,mada1284
tupu-,tupu-,tupu-,tupu-,tupu-,tupu-,tupu-,tupu-,mafe1237
tutu,tutu,tutu,tutu,tutu,tutu,tutu,tutu,maga1262
apu,apu,apu,apu,apu,apu,apu,apu,magu1243
da:d,dad:ɪ,da:d,dad:ɪ,da:d,dad:ɪ,da:d,dad:ɪ,maha1287
t-atat,t-atat,t-atat,t-atat,t-atat,t-atat,t-atat,t-atat,maib1239
pitāmha,pitāmhī,mātāmha,mātāmhī,pitāmha,pitāmhī,mātāmha,mātāmhī,mait1250
kàga,kàga,kàga,kàga,kàga,kàga,kàga,kàga,makl1246
nakulunkongwe,nakulunume,nakulunkongwe,nakulunume,nakulunkongwe,nakulunume,nakulunkongwe,nakulunume,mako1251
muttaccaṉ,muthace,ammatu,ammatu,muttaccaṉ,muthace,ammatu,ammatu,mala1464
pāttayya,pātti,pāttayya,pātti,pāttayya,pātti,pāttayya,pātti,mala1468
datok,tok,datok,tok,datok,tok,datok,tok,mala1479
abohbandamachu,abohbandamachu,abohbandafemi,abohbandafemi,abohbandamachu,abohbandamachu,abohbandafemi,abohbandafemi,mala1533
n'-mǔke-sǔmsʼ,nǔkʼ-mus,n'-mǔke-sǔmsʼ,nǔkʼ-mus,n'-mǔke-sǔmsʼ,nǔkʼ-mus,n'-mǔke-sǔmsʼ,nǔkʼ-mus,male1293
gantharri,gantharri,gantharri,gantharri,gantharri,gantharri,gantharri,gantharri,malg1242a
iaik,uauk,iaik,uauk,iaik,uauk,iaik,uauk,mali1284
tumbu,tata,tumbu,tumbu,tavuaiku,tata,tumbu,tumbu,malo1243
pupusuk,putuatsuk,pupusuk,putuatsuk,pupusuk,putuatsuk,pupusuk,putuatsuk,malu1245
tubu,tubu,tubu,tubu,tubu,tubu,tubu,tubu,mana1295
tä-taʼ-hˑe-ha,nahˑʼ-he-a,tä-taʼ-hˑe-ha,nahˑʼ-he-a,tä-taʼ-hˑe-ha,nahˑʼ-he-a,tä-taʼ-hˑe-ha,nahˑʼ-he-a,mand1446
tupuna,tupuna,tupuna,tupuna,tupuna,tupuna,tupuna,tupuna,mang1401
tupunatane,tupunava'ine,tupunatane,tupunava'ine,tupunatane,tupunava'ine,tupunatane,tupunava'ine,mang1402
empo,empo,empo,empo,empo,empo,empo,empo,mang1405
hene,napa,hene,napa,hene,napa,hene,napa,mang1407
napanana,napafīnī,napanana,napafīnī,napanana,napafīnī,napanana,napafīnī,mang1408
injemowa,indawa,injemowa,indawa,injemowa,indawa,injemowa,indawa,mani1235
opa,anʸekwa,opa,anʸekwa,opa,anʸekwa,opa,anʸekwa,mans1258
tipuna,tipuna,tipuna,tipuna,tipuna,tipuna,tipuna,tipuna,maor1246
mäuhääzä,mäzhiäze,mäuhääzä,mäzhiäze,mäuhääzä,mäzhiäze,mäuhääzä,mäzhiäze,mara1378
etbën,etbën,etbën,etbën,etbën,etbën,etbën,etbën,mara1399
apo,apo,apo,apo,apo,apo,apo,apo,mara1404
ngadhiny,pabiny,punydya,kaminy,ngadhiny,pabiny,punydya,kaminy,marg1253
bua,bua,bua,bua,bua,bua,bua,bua,mari1426
ᵐbua,ᵐbua,ᵐbua,ᵐbua,ᵐbua,ᵐbua,ᵐbua,ᵐbua,mari1426a
ˈɸuβuxamal,ˈɸuβuimʷa,ˈɸuβuxamal,ˈɸuβuimʷa,ˈɸuβuxamal,ˈɸuβuimʷa,ˈɸuβuxamal,ˈɸuβuimʷa,mari1426b
ɸuɸu,ɸuɸu,ɸuɸu,ɸuɸu,ɸuɸu,ɸuɸu,ɸuɸu,ɸuɸu,mari1426c
ɸuɸu,ɸuɸu,ɸuɸu,ɸuɸu,ɸuɸu,ɸuɸu,ɸuɸu,ɸuɸu,mari1426d
ɸuɸu,ɸuɸu,ɸuɸu,ɸuɸu,ɸuɸu,ɸuɸu,ɸuɸu,ɸuɸu,mari1426e
tə̆m,tə̆m,tə̆m,tə̆m,tə̆m,tə̆m,tə̆m,tə̆m,mari1426f
tə̆m,tə̆m,tə̆m,tə̆m,tə̆m,tə̆m,tə̆m,tə̆m,mari1426g
buᵐbu,buᵐbu,buᵐbu,buᵐbu,buᵐbu,buᵐbu,buᵐbu,buᵐbu,mari1426h
buᵐbu,buᵐbu,buᵐbu,buᵐbu,buᵐbu,buᵐbu,buᵐbu,buᵐbu,mari1426i
tupunaahana,tupunavehine,tupunaahana,tupunavehine,tupunaahana,tupunavehine,tupunaahana,tupunavehine,marq1246
jibu,jibu,jibu,jibu,jibu,jibu,jibu,jibu,mars1254
nyamu,kami,nyamu,kami,nyamu,kami,nyamu,kami,mart1256
bābā,dādī,nānā,nānī,bābā,dādī,nānā,nānī,marw1260
gugawase,kukuwase,kukuwase,kukuwase,gugawase,kukuwase,kukuwase,kukuwase,masa1299
hatʸi-rɨ,ha-xi-ro,hatʸi-rɨ,ha-xi-ro,hatʸi-rɨ,ha-xi-ro,hatʸi-rɨ,ha-xi-ro,mash1270
atabə-,atabə-,atabə-,atabə-,atabə-,atabə-,atabə-,atabə-,mask1242
tibu,tibu,tibu,tibu,tibu,tibu,tibu,tibu,matu1261
kaaga,kaaga,kaaga,kaaga,kaaga,kaaga,kaaga,kaaga,mbal1257
mbue,mbue,mbue,mbue,mbue,mbue,mbue,mbue,meko1237
tupuna,tupuna,tupuna,tupuna,tupuna,tupuna,tupuna,tupuna,mele1250
na-mǎʼ-sho,noʼ-ko-mäʼ,na-mǎʼ-sho,noʼ-ko-mäʼ,na-mǎʼ-sho,noʼ-ko-mäʼ,na-mǎʼ-sho,noʼ-ko-mäʼ,meno1252
uɸa,uɸa,uɸa,uɸa,uɸa,uɸa,uɸa,uɸa,menu1237
kaiǎd,kaiǎd,kaiǎd,kaiǎd,kaiǎd,kaiǎd,kaiǎd,kaiǎd,meri1244
tumbu,tumbu,tumbu,tumbu,tumbu,tumbu,tumbu,tumbu,merl1237
jûûjû,jûûjû,jûûjû,jûûjû,jûûjû,jûûjû,jûûjû,jûûjû,meru1245
cìnálé,cìt'cìné,cìtsóyé,cìtcóˑ,cìnálé,cìt'cìné,cìtsóyé,cìtcóˑ,mesc1238
nǎ-mǎʼ-sho-mis,noʼ-ko-mis,nǎ-mǎʼ-sho-mis,noʼ-ko-mis,nǎ-mǎʼ-sho-mis,noʼ-ko-mis,nǎ-mǎʼ-sho-mis,noʼ-ko-mis,mesk1242
indimowa,indawa,indimowa,indawa,indimowa,indawa,indimowa,indawa,meya1236
