,glottocode,label_,outlier_prob,cluster_prob,x,y
0,ache1246,4,0.0,1.0,-1.54656916968977,0.7684433219700196
1,adny1235,6,0.0,1.0,-1.099469069264482,1.5566421441654321
2,afri1274,2,0.0,1.0,1.1924069615780277,-0.8857490684047079
3,aghu1253,6,0.0,1.0,-1.4591515755757851,0.4993187143421776
4,agua1253,2,0.0,1.0,1.3330896503517233,-0.8017847715844749
5,akhv1239,8,0.0,1.0,-1.0321074397360168,0.013932304919344244
6,akka1240,8,,0.0,0.5864449863444967,1.6235248839389806
7,alba1267,8,0.0,1.0,0.4113814837566614,1.7929884758010903
8,alya1239,6,0.0,1.0,-1.5030340470086168,-0.593824483383721
9,amha1245,8,0.0,1.0,-0.047819637453370346,0.16704769104946512
10,amis1246,5,0.0,1.0,-1.2459644502845677,-0.5338274758988305
11,anci1242,2,0.0,1.0,0.30550187456882544,-1.6564934263261397
12,ancu1238,8,0.0,1.0,-0.9169539777721517,0.01233092242662391
13,anda1281,8,0.0,1.0,-0.6561856544977805,-0.1130968978633915
14,andi1255,8,0.0,1.0,-0.6561856544977805,-0.1130968978633915
15,arab1267,6,0.0,1.0,-0.6521104585121689,1.8674036215638603
16,arch1244,8,0.0,1.0,-0.4788075625515785,-0.13519268710964685
17,assa1263,3,0.0,1.0,1.6818950531487007,1.1404134751946995
18,asut1235,8,0.0,1.0,0.5555316885801851,-0.17566984330895646
19,atay1247,5,0.0,1.0,-1.7969796485471174,0.734659641269122
20,avar1256,8,0.0,1.0,-0.9973904721563067,0.10138506759744456
21,aves1237,2,0.0,1.0,0.7339153880122057,-1.2221814296617117
22,awet1244,9,0.0,1.0,-0.10910544266072837,-1.1485596791569876
23,ayor1240,8,0.0,1.0,-0.31039212615661327,0.8202229993190614
24,badi1246,8,0.0,1.0,1.2503161842133135,1.387254094467826
25,bagv1239,8,0.0,1.0,-0.9169539777721515,0.012330922426623906
26,balo1260,2,0.0,1.0,1.5966165876694403,-0.6631560317019594
27,bann1248,8,0.0,1.0,0.47257334477486107,1.0093785364370875
28,bari1297,2,0.0,1.0,1.0015462960828245,-1.0128760639217675
29,basq1248,2,0.0,1.0,1.1924069615780288,-0.8857490684047075
30,bata1285,8,0.0,1.0,1.1032376898610947,0.72096414000412
31,batl1238,8,0.0,1.0,-1.243184953558445,0.32280043112753587
32,bats1242,8,0.0,1.0,-1.3720493554443844,0.449676932483898
33,baur1253,2,0.0,1.0,0.22361730229709786,-1.752998027733138
34,bayu1240,8,0.0,1.0,-0.25916286425274243,-0.18290484174134533
35,bela1254,2,0.0,1.0,1.3330896503517238,-0.8017847715844753
36,beng1280,8,0.0,1.0,0.0305504518744974,0.24373620193143322
37,bera1259,6,0.0,1.0,-0.9637856581230343,1.0706778729286965
38,bezh1248,8,0.0,1.0,-1.1265130911256098,0.15256346451078026
39,biha1245,7,0.0,1.0,1.230683665331605,0.4520127838039201
40,bila1255,5,0.0,1.0,-0.9959188535335003,-1.5652258706808473
41,birh1242,8,0.0,1.0,-0.30993448474255814,1.2845367970491666
42,biri1256,8,0.0,1.0,0.16404712981146283,0.9419248866373243
43,bitt1240,8,0.0,1.0,-0.2918363752651231,-1.0231094092319533
44,bret1244,2,0.0,1.0,1.7027607591504241,-0.6119219654373503
45,budu1248,8,0.0,1.0,-0.6591825102794557,-0.1742126491953858
46,budz1238,0,0.0,1.0,-0.5388389161610035,-2.6655539506419283
47,buku1249,5,0.0,1.0,-1.379351063669127,-0.09553796755606435
48,bulg1262,8,0.0,1.0,0.387975720216691,0.7899420732893283
49,bunu1267,5,0.0,1.0,-1.6358079829876226,0.454209660051259
50,bush1247,2,0.0,1.0,1.8380841146063078,-0.5487303381113011
51,cayu1262,3,0.0,1.0,2.076633056503112,0.12017685860609988
52,cent1972,2,0.0,1.0,2.258346641292305,-0.35475701398113524
53,cent2131,8,0.0,1.0,-1.0663032535192605,0.9457980267600257
54,cent2142,8,0.0,1.0,-0.3641697417648779,-0.005660689127109216
55,chac1249,8,0.0,1.0,0.7536876154421057,1.9927705555160053
56,cham1309,8,0.0,1.0,-1.059944025801014,0.49960450882106083
57,chen1255,8,0.0,1.0,-0.10067424992478965,1.786504051775969
58,chib1270,6,0.0,1.0,-0.5729312595843103,1.345365709198484
59,chip1261,8,0.0,1.0,0.21822696430905245,0.8015964634874869
60,chip1262,6,0.0,1.0,-0.8250874704131639,0.635283305068959
61,chir1284,8,0.0,1.0,-1.0204265852160335,-0.24528473625840785
62,chok1245,1,0.0,1.0,-2.3660223459806744,-2.104685667096102
63,chur1257,2,0.0,1.0,1.3330896503517233,-0.8017847715844747
64,cint1239,-1,0.5,0.0,0.6821379298705048,-1.8240185365087282
65,clas1250,2,0.0,1.0,0.9224815662881476,-1.0702837784678072
66,coca1259,-1,0.5,0.0,0.4740545505745215,-1.5447302221689034
67,coco1261,8,0.0,1.0,-0.7379456629322599,1.23377716614821
68,colo1249,2,0.0,1.0,0.9224815662881471,-1.0702837784678076
69,coma1245,8,0.0,1.0,-0.47164465970087677,-0.3365935706043866
70,corn1251,2,0.0,1.0,1.1924069615780282,-0.8857490684047075
71,cruz1243,8,0.0,1.0,-0.3897982825431046,-0.07619334663360132
72,cube1242,8,0.0,1.0,-1.008767041485804,0.3369749095642949
73,cusc1236,-1,0.0,0.0,0.3350330664708781,-2.1494579414316735
74,czec1258,2,0.0,1.0,1.192406961578028,-0.8857490684047075
75,dand1238,8,0.0,1.0,0.5767658442048432,1.1771101556725154
76,dani1285,8,0.0,1.0,-0.1265302074469182,0.13524262153484745
77,dari1249,2,0.0,1.0,0.9224815662881475,-1.0702837784678076
78,darl1243,8,0.0,1.0,0.03130195166934859,0.9794220591552709
79,dege1248,2,0.0,1.0,1.838084114606307,-0.5487303381113056
80,dhar1248,3,0.0,1.0,1.332748804679923,-1.5506824976056135
81,dier1241,6,0.0,1.0,-1.049760837841441,1.0238059019293608
82,digo1243,5,0.0,1.0,-1.4325801460959235,0.044330134394654074
83,ding1239,8,0.0,1.0,0.6182255051464212,1.1773212245121072
84,djam1256,6,0.0,1.0,-0.8319457534478709,1.4430408469335745
85,djin1253,3,0.0,1.0,1.2856735820879115,0.1214973141762982
86,dogr1252,8,0.0,1.0,0.27445987847010417,-0.08595322929407187
87,dual1243,5,0.0,1.0,-1.0574443260905473,-1.3979456924955467
88,dutc1256,2,0.0,1.0,2.2583466412967894,-0.354757013947495
89,dyir1250,8,0.0,1.0,0.8513178998486971,0.2766984691606081
90,east1436,8,0.0,1.0,1.4022085573278658,0.8380354194384172
91,east2283,8,0.0,1.0,-0.6050875072943456,0.24357496598388706
92,east2295,8,0.0,1.0,-0.10921833703658401,0.08679426163983339
93,east2328,8,0.0,1.0,0.5047775733990705,1.5387048229938425
94,east2447,1,0.0,1.0,-1.342647657313563,-1.989337123590344
95,east2555,8,0.0,1.0,-0.6224454993712346,0.44973893425540423
96,elam1244,2,0.0,1.0,2.25834664129568,-0.3547570139558188
97,emer1243,8,0.0,1.0,0.35296822379989745,1.4317108862035646
98,enap1235,2,0.0,1.0,1.7027607591504241,-0.6119219654373507
99,epen1239,8,0.0,1.0,-0.6013659698441685,-0.17587875711867365
100,erzy1239,8,0.0,1.0,0.3276353092145445,1.6868724372662538
101,esto1258,8,0.0,1.0,-0.42602930720990323,0.4150983751830396
102,eude1234,8,0.0,1.0,-0.5461903935124454,-0.3416435661791465
103,fang1246,8,0.0,1.0,0.6613068716421167,0.9619020269771201
104,fefe1239,5,0.0,1.0,-1.6358079829876226,0.4542096600512586
105,finn1318,8,0.0,1.0,-0.2529275977020265,0.37770855068019504
106,fipa1238,1,0.0,1.0,-0.6652244533569412,-1.9880811869521793
107,fris1239,8,0.0,1.0,1.0464739772654914,-0.08851165789087119
108,gami1243,8,0.0,1.0,0.34005137226570825,0.6567914478874406
109,gand1255,-1,0.5,0.0,-1.2364607022099152,-0.35520206028305085
110,ghod1238,8,0.0,1.0,-1.0803493262101767,-0.07745141186180113
111,giga1238,8,0.0,1.0,-0.5081812444862908,0.049284458430478795
112,giry1241,3,0.0,1.0,1.6081121394669848,0.4037239788017418
113,gond1265,7,0.0,1.0,1.2585421047468912,0.4257509934873861
114,goth1244,2,0.0,1.0,1.333089650351723,-0.8017847715844747
115,guaj1256,-1,0.0,0.0,2.084266971477673,1.5947467678428933
116,gugu1255,8,0.0,1.0,0.3428910556409947,1.009343761439939
117,guja1252,8,0.0,1.0,-0.260553776828274,0.5030938825543403
118,guma1253,6,0.0,1.0,-0.8031530440846638,1.2903937754108126
119,guny1241,8,0.0,1.0,0.9801371985721182,1.6458252519549197
120,gupa1247,8,0.0,1.0,0.6037452193287183,0.6675470914274958
121,guri1247,8,0.0,1.0,-0.47837596706083935,1.0990661663811683
122,gusi1247,2,0.0,1.0,0.5952697870083946,-1.350183889918588
123,haus1257,8,0.0,1.0,-0.569137886455891,0.5532657944427398
124,hawa1245,6,,0.0,-0.8991153988485898,-1.3119957587952233
125,haya1250,5,0.0,1.0,-1.1334697945580314,-1.0570235443046578
126,here1253,6,0.0,1.0,-0.9170703649581582,1.7875865964414916
127,hidd1238,8,0.0,1.0,-1.0089305567174127,0.10096917377821883
128,high1278,0,0.0,1.0,-0.5388388077410575,-2.665553971310683
129,hind1269,8,0.0,1.0,-0.6088015638538241,0.5356469016792619
130,hinu1240,4,0.0,1.0,-1.2684328375838199,-0.09413780949379895
131,hitt1242,2,0.0,1.0,1.5966165876694416,-0.6631560317019587
132,homs1234,8,0.0,1.0,-0.46047997340923574,0.14316099402572552
133,hopi1249,6,0.0,1.0,-1.2631988379887567,1.6897373428708495
134,huar1255,8,0.0,1.0,-0.5931039698979172,0.5103339368410067
135,hung1274,8,0.0,1.0,-0.4620253047873139,1.790383915035433
136,hunz1247,4,0.0,1.0,-1.2332541146957081,-0.03967958019137886
137,hupa1239,8,0.0,1.0,0.6151808881665269,1.259091066174788
138,icel1247,2,0.0,1.0,1.1924069615780288,-0.8857490684047078
139,igna1246,4,0.0,1.0,-1.3661922924712075,0.9599912454538926
140,ingr1248,2,0.0,1.0,2.2583466412970457,-0.3547570139455685
141,ingu1240,8,0.0,1.0,-1.0475330778489207,0.403160063352653
142,inxo1238,8,0.0,1.0,-0.531152149719473,0.03459000037124605
143,iris1253,2,0.0,1.0,0.7339153880122042,-1.2221814296617126
144,ital1282,2,0.0,1.0,1.0722160438530164,-0.9640346578146414
145,iton1250,2,0.0,1.0,0.3055018745688253,-1.65649342632614
146,itsa1239,8,0.0,1.0,-0.9517972738156923,-0.38713690378289195
147,jama1262,8,0.0,1.0,0.6402362060446968,-0.13148731373400668
148,jaru1254,6,0.0,1.0,-1.1668157787552778,1.2305278303396106
149,jica1244,2,0.0,1.0,0.7339153880122044,-1.2221814296617117
150,jude1256,8,0.0,1.0,-0.3579793299829067,0.31293154844912435
151,kada1242,8,0.0,1.0,0.010821130939425177,-0.4072533680593444
152,kaiw1246,-1,0.5,0.0,-0.2457789468019315,-1.448580176920355
153,kalk1246,6,0.0,1.0,-1.0204850606504081,0.9997863537511148
154,kama1373,9,0.0,1.0,-0.18039060985941255,-1.2977884973394398
155,kamb1297,5,0.0,1.0,-1.3227592200733758,-0.2694918767454962
156,kaon1241,5,0.0,1.0,-1.6946719470024758,0.555257759568808
157,kapi1249,0,0.0,1.0,-0.5388388613296199,-2.665553961094766
158,kara1476,6,0.0,1.0,-0.9329798549447247,0.826320215094784
159,kari1304,-1,0.0,0.0,0.8088655982951735,1.6499269820660618
160,karo1304,8,0.0,1.0,-0.39546555603313666,1.3314657022726957
161,kart1247,5,0.0,1.0,-1.5531136740616363,0.3035440755935862
162,kash1277,2,0.0,1.0,0.7339153880122046,-1.2221814296617117
163,kaur1267,6,0.0,1.0,-0.9598314336920714,0.5040107073796457
164,kawa1283,8,0.0,1.0,-0.5077725447957333,0.2114346639286927
165,kaya1329,9,0.0,1.0,-0.5843227440895494,-1.4204922026106812
166,kaza1248,8,,0.0,-0.9861292569102889,-0.7749215614699017
167,kett1243,5,0.0,1.0,-1.2459644502845668,-0.5338274758988307
168,khan1273,6,0.0,1.0,-1.2877462368338188,1.2742671018352099
169,kiku1240,5,0.0,1.0,-1.1334697945580312,-1.0570235443046576
170,kiow1264,2,0.0,1.0,2.258346641293817,-0.354757013969789
171,koda1255,8,0.0,1.0,0.32032525634675946,0.2765965862911499
172,komc1235,8,0.0,1.0,0.6350600921011876,-0.4905386438499889
173,komi1268,8,0.0,1.0,-0.998989093822437,0.4456031872231681
174,komo1260,8,0.0,1.0,-0.7173633212465214,0.3713620265289329
175,kota1274,10,0.0,1.0,0.6336922463037769,2.109055030845655
176,kuii1252,8,0.0,1.0,0.025311658498733822,0.8179419161613024
177,kuka1246,4,0.0,1.0,-0.7569849079924085,-0.3051214530008447
178,kuku1273,8,0.0,1.0,0.5758480303196885,0.8874628938324272
179,kumb1268,8,0.0,1.0,-0.3643782184343592,0.4333193861688358
180,kumy1244,8,0.0,1.0,-0.48611910320300683,-0.6586286269345892
181,kunz1243,8,0.0,1.0,-1.2167826178766805,0.18159536018444206
182,kunz1244,3,0.0,1.0,0.8107059096217166,-0.3535504723984914
183,kuru1302,8,0.0,1.0,0.7598972649859734,0.17319042015267297
184,kuvi1243,8,0.0,1.0,0.6018700384977766,1.7074927105343425
185,kwas1243,8,0.0,1.0,0.4538888170299049,0.34553388161426696
186,lahn1241,2,0.0,1.0,0.7339153880122046,-1.2221814296617128
187,lala1264,0,0.0,1.0,-0.5388388508498385,-2.665553963092592
188,lati1261,8,0.0,1.0,0.1943882529742257,-0.08269151329377476
189,latv1249,8,0.0,1.0,-0.3228387008840199,0.09512617436221533
190,laua1243,-1,0.0,0.0,-2.2952595243643907,-1.127864836793143
191,ling1263,8,0.0,1.0,1.0305624301429348,0.8655804933291434
192,lipa1241,2,0.0,1.0,1.5269704450576045,-0.6979395159604806
193,lith1251,2,0.0,1.0,2.2583466412960402,-0.3547570139531104
194,lozi1239,3,0.0,1.0,1.350062764460512,-0.11209854925580641
195,luba1249,5,0.0,1.0,-1.2459644502845681,-0.533827475898831
196,luba1250,-1,0.3333333333333333,0.0,-1.6890095243496925,-0.09513756612174734
197,luis1253,8,0.0,1.0,-0.2617054912104429,1.450696428710868
198,luxe1241,2,0.0,1.0,1.5269704450576043,-0.6979395159604806
199,mace1250,8,0.0,1.0,0.6184827008897866,1.145431318744899
200,maha1287,8,0.0,1.0,1.0329290460957588,1.2589561673423395
201,mait1250,8,0.0,1.0,0.19528044991088472,0.8677766420370494
202,mako1251,0,0.0,1.0,-0.5388388438968038,-2.6655539644180903
203,mala1464,8,0.0,1.0,-0.21945458054957942,0.2568025724533658
204,mala1468,8,0.0,1.0,-0.13446423977127311,0.23420755452180608
205,mala1479,2,0.0,1.0,1.5966165876694431,-0.6631560317019591
206,malg1242,8,0.0,1.0,1.1603709536290538,-0.026887714422787277
207,mang1401,10,0.0,1.0,-0.5561425921114109,-1.2388186982154805
208,mans1258,8,0.0,1.0,-0.4352085869377514,1.3570735454616585
209,mapu1245,8,0.0,1.0,-0.14689140967406564,0.19037066777418585
210,mara1378,8,0.0,1.0,-0.08638396597304039,1.308137091760906
211,marg1253,8,0.0,1.0,0.3053187553178407,1.0911515885492993
212,mart1256,6,0.0,1.0,-1.2511678662986991,0.7529877507683086
213,marw1260,7,0.0,1.0,1.1748580632101948,0.035151679757863055
214,masa1299,-1,0.5,0.0,-0.7094699621650841,-1.1935500297463544
215,mbal1257,8,0.0,1.0,-0.5338267173754054,0.9769496238679823
216,meke1243,5,0.0,1.0,-1.3506182838375076,-0.17689013776176846
217,meru1245,8,0.0,1.0,-0.3667443802958906,-0.532825476455669
